,html_url,legislative_term,reference,title,interpellation_type,published_at,body,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
34321,https://kleineanfragen.de/bremen/18/1843-erbringung-von-assistenzleistungen-im-land-bremen,18,1843,Erbringung von Assistenzleistungen im Land Bremen,minor,2015-05-26,Bremen,SPD,Björn Tschöpe;Mustafa Güngör;Margitta Schmidtke;Sybille Böschen,Senat
34322,https://kleineanfragen.de/bremen/18/694-s-unterdeckung-bei-kosten-der-unterkunft,18,694 S,Unterdeckung bei Kosten der Unterkunft?,minor,2015-04-21,Bremen,Die Linke,Kristina Vogt;Peter Erlanson,Senat
34323,https://kleineanfragen.de/bremen/18/1835-spielhallenkontrollen-im-land-bremen,18,1835,Spielhallenkontrollen im Land Bremen,minor,2015-04-21,Bremen,SPD,Björn Tschöpe;Emin Şükrü Şenkal,Senat
34324,https://kleineanfragen.de/bremen/18/1820-bewerberinnen-und-bewerber-um-einen-ausbildungsplatz,18,1820,Bewerberinnen und Bewerber um einen Ausbildungsplatz,minor,2015-04-14,Bremen,SPD,Björn Tschöpe;Dieter Reinken;Sarah Ryglewski,Senat
34325,https://kleineanfragen.de/bremen/18/1819-ausbildungsangebote-und-strukturen-in-den-gesundheitsfachberufen-im-land-bremen,18,1819,Ausbildungsangebote und -strukturen in den Gesundheitsfachberufen im Land Bremen,minor,2015-04-14,Bremen,SPD,Björn Tschöpe;Winfried Brumma;Dieter Reinken;Sybille Böschen,Senat
34326,https://kleineanfragen.de/bremen/18/1818-fortwaehrende-unklarheiten-beim-bauabschnitt-2-2-der-a-281,18,1818,Fortwährende Unklarheiten beim Bauabschnitt 2.2 der A 281,minor,2015-04-14,Bremen,Die Linke,Kristina Vogt;Peter Erlanson,Senat
34327,https://kleineanfragen.de/bremen/18/684-s-sozialindikatoren-und-ressourcenzuweisung-an-schulen,18,684 S,Sozialindikatoren und Ressourcenzuweisung an Schulen,major,2015-04-07,Bremen,Die Linke,,Senat
34328,https://kleineanfragen.de/bremen/18/1810-ernaehrung-im-blick-behalten-konsequenzen-aus-dem-parlamentarischen-untersuchungsausschuss-krankenhauskeime,18,1810,"Ernährung im Blick behalten: Konsequenzen aus dem parlamentarischen Untersuchungsausschuss ""Krankenhauskeime""",minor,2015-04-07,Bremen,Die Grünen,Matthias Güldner,Senat
34329,https://kleineanfragen.de/bremen/18/1809-hinterlegung-von-nachlaessen-mit-unbekannten-erben,18,1809,Hinterlegung von Nachlässen mit unbekannten Erben,minor,2015-04-07,Bremen,CDU,Thomas Röwekamp;Gabriela Piontkowski,Senat
34330,https://kleineanfragen.de/bremen/18/1808-tarifgerechtigkeit-bei-oeffentlichen-unternehmen-im-land-bremen,18,1808,Tarifgerechtigkeit bei öffentlichen Unternehmen im Land Bremen,minor,2015-04-07,Bremen,Die Linke,Kristina Vogt;Claudia Bernhard,Senat
34331,https://kleineanfragen.de/bremen/18/1807-werden-unbegleitete-minderjaehrige-fluechtlinge-in-bremen-ausreichend-versorgt,18,1807,Werden unbegleitete minderjährige Flüchtlinge in Bremen ausreichend versorgt?,major,2015-04-07,Bremen,CDU,,Senat
34332,https://kleineanfragen.de/bremen/18/1804-interessen-der-verbraucherinnen-verbraucher-in-gesetzgebungsverfahren-staerker-beruecksichtigen-umsetzung-des,18,1804,"Interessen der Verbraucherinnen/Verbraucher in Gesetzgebungsverfahren stärker berücksichtigen -- Umsetzung des Bürgerschaftsbeschlusses im Lande Bremen Vorläufige,",minor,2015-03-24,Bremen,SPD,Björn Tschöpe;Sarah Ryglewski,Senat
34333,https://kleineanfragen.de/bremen/18/1803-wohnen-im-alter-in-bremen-problemlos-moeglich,18,1803,Wohnen im Alter -- in Bremen problemlos möglich?,minor,2015-03-24,Bremen,CDU,Thomas Röwekamp;Silvia Neumeyer;Sandra Ahrens;Heiko Strohmann,Senat
34334,https://kleineanfragen.de/bremen/18/1802-steuerliche-abzugsfaehigkeit-von-beitraegen-zu-bankenrettungsfonds,18,1802,Steuerliche Abzugsfähigkeit von Beiträgen zu Bankenrettungsfonds,minor,2015-03-24,Bremen,CDU,Thomas Röwekamp;Silvia Neumeyer;Jörg Kastendiek,Senat
34335,https://kleineanfragen.de/bremen/18/1801-entwicklung-der-ambulantisierung-von-stationaeren-wohnformen-fuer-menschen-mit-behindungen,18,1801,Entwicklung der Ambulantisierung von stationären Wohnformen für Menschen mit Behindungen,minor,2015-03-24,Bremen,Die Linke,Kristina Vogt;Peter Erlanson,Senat
34336,https://kleineanfragen.de/bremen/18/1800-cloud-computing-in-der-oeffentlichen-verwaltung,18,1800,Cloud Computing in der öffentlichen Verwaltung,minor,2015-03-24,Bremen,SPD,Björn Tschöpe;Rainer Hamann,Senat
34337,https://kleineanfragen.de/bremen/18/1799-digitale-souveraenitaet-bremens,18,1799,Digitale Souveränität Bremens,major,2015-03-24,Bremen,SPD;Die Grünen,,Senat
34338,https://kleineanfragen.de/bremen/18/1798-was-genau-hat-die-buergerschaft-mit-der-aufnahme-der-schuldenbremse-in-die-landesverfassung-eigentlich-beschlossen,18,1798,Was genau hat die Bürgerschaft mit der Aufnahme der 'Schuldenbremse' in die Landesverfassung eigentlich beschlossen?,major,2015-03-24,Bremen,Die Linke,,Senat
34339,https://kleineanfragen.de/bremen/18/1786-strategien-zur-bekaempfung-von-menschenhandel-zum-zweck-der-ausbeutung-der-arbeitskraft,18,1786,Strategien zur Bekämpfung von Menschenhandel zum Zweck der Ausbeutung der Arbeitskraft,minor,2015-03-17,Bremen,Die Linke,Kristina Vogt,Senat
