,html_url,legislative_term,reference,title,interpellation_type,published_at,body,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
35395,https://kleineanfragen.de/bundestag/18/13705-taetigkeit-von-dokumenten-und-visumberatern-im-ausland,18,13705,Tätigkeit von Dokumenten- und Visumberatern im Ausland,minor,2017-10-23,Bundestag,Die Linke,Heike Hänsel;Annette Groth;Sevim Dağdelen,Bundesministerium des Innern
35396,https://kleineanfragen.de/bundestag/18/13704-die-rolle-der-us-basis-ramstein-und-anderer-deutscher-us-basen-bei-der-lieferung-von-us-ruestungsguetern-nach,18,13704,Die Rolle der US-Basis Ramstein und anderer deutscher US-Basen bei der Lieferung von US-Rüstungsgütern nach Syrien,minor,2017-10-23,Bundestag,Die Linke,Niema Movassat;Sevim Dağdelen;Alexander Neu;Heike Hänsel,Auswärtiges Amt
35397,https://kleineanfragen.de/bundestag/18/13703-fragen-zu-moeglicherweise-fehlerhaften-bestandskraftbescheiden-des-bundesamtes-fuer-migration-und-fluechtlinge,18,13703,Fragen zu möglicherweise fehlerhaften Bestandskraftbescheiden des Bundesamtes für Migration und Flüchtlinge,minor,2017-10-23,Bundestag,Die Linke,Kerstin Kassner;André Hahn;Ulla Jelpke,Bundesministerium des Innern
35398,https://kleineanfragen.de/bundestag/18/13702-verstaerkte-spionageaktivitaeten-der-tuerkei-und-verfolgung-von-erdogan-kritikern,18,13702,Verstärkte Spionageaktivitäten der Türkei und Verfolgung von Erdogan-Kritikern,minor,2017-10-23,Bundestag,Die Linke,Heike Hänsel;Annette Groth;Sevim Dağdelen,Bundesministerium des Innern
35399,https://kleineanfragen.de/bundestag/18/13698-deutsch-russische-zivilgesellschaftliche-zusammenarbeit,18,13698,Deutsch-russische zivilgesellschaftliche Zusammenarbeit,minor,2017-10-23,Bundestag,Die Linke,Annette Groth;Andrej Hunko;André Hahn,Auswärtiges Amt
35400,https://kleineanfragen.de/bundestag/18/13697-der-compact-with-africa-und-geplante-reformpartnerschaften-mit-afrikanischen-laendern-zur-verbesserung-von,18,13697,Der Compact with Africa und geplante „Reformpartnerschaften“ mit afrikanischen Ländern zur Verbesserung von Investitionsbedingungen,minor,2017-10-23,Bundestag,Die Linke,Andrej Hunko;Heike Hänsel;Annette Groth;Niema Movassat,Bundesministerium der Finanzen
35401,https://kleineanfragen.de/bundestag/18/13688-zusammenarbeit-mit-aegypten-zur-kontrolle-und-abwehr-von-migration,18,13688,Zusammenarbeit mit Ägypten zur Kontrolle und Abwehr von Migration,minor,2017-10-18,Bundestag,Die Linke,Christine Buchholz;Jan van Aken;Andrej Hunko,Auswärtiges Amt
35402,https://kleineanfragen.de/bundestag/18/13687-kontrolle-unerwuenschter-migration-an-der-libyschen-suedgrenze,18,13687,Kontrolle unerwünschter Migration an der libyschen Südgrenze,minor,2017-10-18,Bundestag,Die Linke,Jan van Aken;Wolfgang Gehrcke;Andrej Hunko,Auswärtiges Amt
35403,https://kleineanfragen.de/bundestag/18/13686-konsequenzen-aus-den-cum-ex-und-cum-cum-geschaeften,18,13686,Konsequenzen aus den Cum/Ex- und Cum/Cum-Geschäften,minor,2017-10-17,Bundestag,Die Grünen,Tobias Lindner;Britta Haßelmann;Gerhard Schick,Bundesministerium der Finanzen
35404,https://kleineanfragen.de/bundestag/18/13684-grenzueberschreitende-verdeckte-ermittlungen-und-ueberwachung-mithilfe-der-polizeiagentur-europol,18,13684,Grenzüberschreitende verdeckte Ermittlungen und Überwachung mithilfe der Polizeiagentur Europol,minor,2017-10-13,Bundestag,Die Linke,Inge Höger;Annette Groth;Andrej Hunko,Bundesministerium des Innern
