,html_url,legislative_term,reference,title,interpellation_type,published_at,body,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
9798,https://kleineanfragen.de/berlin/17/19119-nachhaltigkeit-sichtbar-machen-fuer-alle-gefoerdert-und-gefordert-ein-vergleichbarer-einblick-in,17,19119,"Nachhaltigkeit sichtbar machen für alle gefördert und gefordert? Ein vergleichbarer Einblick in Wirtschaftspraktiken der Landesunternehmen, Landesbeteiligungen und Anstalten öffentlichen Rechts gefördert",written,2016-10-26,Berlin,Die Grünen,Alessa Berkenkamp,Senatsverwaltung für Finanzen
9799,https://kleineanfragen.de/berlin/17/19110-stand-der-aufarbeitung-der-unterbringung-von-jugendlichen-bei-paedophilen-durch-die-senatsjugendverwaltung-ii,17,19110,Stand der Aufarbeitung der Unterbringung von Jugendlichen bei Pädophilen durch die Senatsjugendverwaltung (II),written,2016-10-20,Berlin,Die Grünen,Marianne Burkert-Eulitz,"Senatsverwaltung für Bildung, Jugend und Wissenschaft"
9800,https://kleineanfragen.de/berlin/17/19112-soloselbststaendige,17,19112,Soloselbstständige,written,2016-10-19,Berlin,Die Linke,Jutta Matuschek,"Senatsverwaltung für Wirtschaft, Technolgie und Forschung"
9801,https://kleineanfragen.de/berlin/17/19111-entwicklung-der-inneren-sicherheit-und-polizeipraesenz-an-raw-warschauer-bruecke-goerlitzer-park-und-am-kottbusser,17,19111,"Entwicklung der Inneren Sicherheit und Polizeipräsenz an RAW/Warschauer Brücke, Görlitzer Park und am Kottbusser Tor",written,2016-10-19,Berlin,Die Grünen,Marianne Burkert-Eulitz,Senatsverwaltung für Inneres und Sport
9802,https://kleineanfragen.de/berlin/17/19114-uebergriffe-auf-polizeibeamte-im-jahr-2015,17,19114,Übergriffe auf Polizeibeamte im Jahr 2015,written,2016-10-18,Berlin,CDU,Peter Trapp,Senatsverwaltung für Inneres und Sport
9803,https://kleineanfragen.de/berlin/17/19113-spreepark-und-eierhaeuschen-wie-ist-der-sachstand,17,19113,Spreepark und Eierhäuschen - wie ist der Sachstand?,written,2016-10-18,Berlin,Die Linke,Jutta Matuschek,Senatsverwaltung für Stadtentwicklung und Umwelt
9804,https://kleineanfragen.de/berlin/17/19109-foerderung-von-hundeauslaufgebieten-in-den-bezirken,17,19109,Förderung von Hundeauslaufgebieten in den Bezirken,written,2016-10-14,Berlin,CDU,Alexander J. Herrmann,Senatsverwaltung für Stadtentwicklung und Umwelt
9805,https://kleineanfragen.de/berlin/17/19108-wie-sozial-ist-das-sozialticket,17,19108,Wie sozial ist das Sozialticket?,written,2016-10-13,Berlin,Piraten,Alexander Spies,"Senatsverwaltung für Wirtschaft, Technolgie und Forschung"
9806,https://kleineanfragen.de/berlin/17/19107-menschen-ohne-festen-wohnsitz-im-land-berlin,17,19107,Menschen ohne festen Wohnsitz im Land Berlin,written,2016-10-13,Berlin,Piraten,Alexander Spies,Senatsverwaltung für Inneres und Sport
9807,https://kleineanfragen.de/berlin/17/19106-unbegleitete-minderjaehrige-fluechtlinge-ambulantes-clearing,17,19106,Unbegleitete minderjährige Flüchtlinge: Ambulantes Clearing,written,2016-10-12,Berlin,Die Linke,Katrin Seidel,"Senatsverwaltung für Bildung, Jugend und Wissenschaft"
9808,https://kleineanfragen.de/berlin/17/19105-unbegleitete-minderjaehrige-fluechtlinge-in-berlin,17,19105,Unbegleitete minderjährige Flüchtlinge in Berlin,written,2016-10-12,Berlin,Die Linke,Katrin Seidel,"Senatsverwaltung für Bildung, Jugend und Wissenschaft"
9809,https://kleineanfragen.de/berlin/17/19101-nachwuchsleistungszentrum-1-fc-union,17,19101,Nachwuchsleistungszentrum 1. FC Union,written,2016-10-11,Berlin,Die Grünen,Harald Moritz,"Senatsverwaltung für Bildung, Jugend und Wissenschaft"
9810,https://kleineanfragen.de/berlin/17/19104-fortbildungen-fuer-lehrkraefte,17,19104,Fortbildungen für Lehrkräfte,written,2016-10-06,Berlin,CDU,Tim Zeelen,"Senatsverwaltung für Bildung, Jugend und Wissenschaft"
9811,https://kleineanfragen.de/berlin/17/19100-berliner-autobahnabschnitte-ohne-laermschutz,17,19100,Berliner Autobahnabschnitte ohne Lärmschutz,written,2016-10-06,Berlin,Die Grünen,Harald Moritz,Senatsverwaltung für Stadtentwicklung und Umwelt
