,html_url,legislative_term,reference,title,interpellation_type,published_at,body,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
3649,https://kleineanfragen.de/bayern/17/24259-verzoegerungen-und-planungs-wirrwarr-bei-der-muenchner-s-bahn,17,24259,Verzögerungen und Planungs-Wirrwarr bei der Münchner S-Bahn,written,2018-12-27,Bayern,SPD,Florian Brunn,"Staatsministerium für Wohnen, Bau und Verkehr"
3650,https://kleineanfragen.de/bayern/17/24243-verbesserung-auf-der-bahnstrecke-von-roth-nach-hilpoltstein,17,24243,Verbesserung auf der Bahnstrecke von Roth nach Hilpoltstein,written,2018-12-27,Bayern,Die Grünen,Tessa Ganserer,"Staatsministerium für Wohnen, Bau und Verkehr"
3651,https://kleineanfragen.de/bayern/17/24218-verbot-der-bayerischen-schiesssportgruppe-muenchen-e-v,17,24218,Verbot der Bayerischen Schießsportgruppe München e.V.,written,2018-12-27,Bayern,Die Grünen,Katharina Schulze,Staatsministerium des Innern und für Integration
3652,https://kleineanfragen.de/bayern/17/24209-die-arbeit-der-zentralen-auslaenderbehoerden,17,24209,Die Arbeit der zentralen Ausländerbehörden,written,2018-12-27,Bayern,Die Grünen,Christine Kamm,
3653,https://kleineanfragen.de/bayern/17/23111-sexuelle-uebergriffe-an-der-musikhochschule-muenchen,17,23111,Sexuelle Übergriffe an der Musikhochschule München,written,2018-12-27,Bayern,Die Grünen,Verena Osgyan,
3654,https://kleineanfragen.de/bayern/17/24246-sonderzahlung-fuer-beamte,17,24246,Sonderzahlung für Beamte,written,2018-12-21,Bayern,Freie Wähler,Jutta Widmann,"Staatsministerium der Finanzen, für Landesentwicklung und Heimat"
3655,https://kleineanfragen.de/bayern/17/24279-umsetzung-des-bayerischen-zukunftsprogramms-geburtshilfe,17,24279,Umsetzung des bayerischen Zukunftsprogramms Geburtshilfe,written,2018-12-17,Bayern,SPD,Ruth Müller,Staatsministerium für Gesundheit und Pflege
3656,https://kleineanfragen.de/bayern/17/24278-unfaelle-und-verkehrssicherheit-gemeinde-sulzbach,17,24278,Unfälle und Verkehrssicherheit Gemeinde Sulzbach,written,2018-12-17,Bayern,Freie Wähler,Hans Jürgen Fahn,
3657,https://kleineanfragen.de/bayern/17/24277-verkehrsentlastung-im-dammbachtal,17,24277,Verkehrsentlastung im Dammbachtal,written,2018-12-17,Bayern,Freie Wähler,Hans Jürgen Fahn,
3658,https://kleineanfragen.de/bayern/17/24276-unterstuetzung-von-obdach-und-wohnungslosen-in-bayern,17,24276,Unterstützung von Obdach- und Wohnungslosen in Bayern,written,2018-12-17,Bayern,Die Grünen,Kerstin Celina;Katharina Schulze,
3659,https://kleineanfragen.de/bayern/17/24275-verkehrssituation-sulzbach-einfuehrung-von-tempo-30-zonen,17,24275,Verkehrssituation Sulzbach / Einführung von Tempo 30 Zonen,written,2018-12-17,Bayern,Freie Wähler,Hans Jürgen Fahn,Staatsministerium des Innern und für Integration
3660,https://kleineanfragen.de/bayern/17/24274-versteigerung-beschlagnahmter-autos-und-amtlicher-dienstfahrzeuge-der-landesbehoerden-in-bayern,17,24274,Versteigerung beschlagnahmter Autos und amtlicher Dienstfahrzeuge der Landesbehörden in Bayern,written,2018-12-17,Bayern,Die Grünen,Thomas Mütze,
3661,https://kleineanfragen.de/bayern/17/24273-perspektiven-der-notaufnahmen-in-unterfranken,17,24273,Perspektiven der Notaufnahmen in Unterfranken,written,2018-12-17,Bayern,Die Grünen,Thomas Mütze,Staatsministerium für Gesundheit und Pflege
3662,https://kleineanfragen.de/bayern/17/24272-neuer-lebensmittelskandal-in-landsberger-wurstfabrik-was-unternahmen-die-zustaendigen-behoerden,17,24272,Neuer Lebensmittelskandal in Landsberger Wurstfabrik - was unternahmen die zuständigen Behörden?,written,2018-12-17,Bayern,SPD,Florian Brunn,Staatsministerium für Umwelt und Verbraucherschutz
3663,https://kleineanfragen.de/bayern/17/24271-zukunft-der-berufsschulen-in-unterfranken,17,24271,Zukunft der Berufsschulen in Unterfranken,written,2018-12-17,Bayern,fraktionslos,Günter Felbinger,Staatsministerium für Unterricht und Kultus
3664,https://kleineanfragen.de/bayern/17/24270-beobachtung-von-politikern-und-politikerinnen-der-afd-durch-das-bayerische-landesamt-fuer-verfassungsschutz-baylfv,17,24270,Beobachtung von Politikern und Politikerinnen der AfD durch das Bayerische Landesamt für Verfassungsschutz (BayLfV),written,2018-12-17,Bayern,Die Grünen,Katharina Schulze,Staatsministerium des Innern und für Integration
3665,https://kleineanfragen.de/bayern/17/24269-ortsumfahrung-kueps,17,24269,Ortsumfahrung Küps,written,2018-12-17,Bayern,SPD,Klaus Adelt,"Staatsministerium für Wohnen, Bau und Verkehr"
3666,https://kleineanfragen.de/bayern/17/24268-wasserentnahme-aus-der-donau-im-landkreis-kelheim-zur-bewaesserung-von-landwirtschaftlichen-flaechen,17,24268,Wasserentnahme aus der Donau im Landkreis Kelheim zur Bewässerung von landwirtschaftlichen Flächen,written,2018-12-17,Bayern,Die Grünen,Rosi Steinberger,Staatsministerium für Umwelt und Verbraucherschutz
