,html_url,legislative_term,reference,title,interpellation_type,published_at,body,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
34904,https://kleineanfragen.de/bremen/19/2198-welches-fleisch-kommt-den-studierenden-da-eigentlich-so-auf-den-teller,19,2198,Welches Fleisch kommt den Studierenden da eigentlich so auf den Teller?,minor,2019-06-11,Bremen,,,Senat
34905,https://kleineanfragen.de/bremen/19/2194-zukunft-der-zirkusse-und-ihrer-beschaeftigten,19,2194,Zukunft der Zirkusse und ihrer Beschäftigten,minor,2019-05-22,Bremen,,,Senat
34906,https://kleineanfragen.de/bremen/19/2196-mit-der-s-bahn-zur-universitaet-wann-wird-der-haltepunkt-am-technologiepark-endlich-realisiert,19,2196,Mit der S-Bahn zur Universität - Wann wird der Haltepunkt am Technologiepark endlich realisiert?,minor,2019-05-21,Bremen,,,Senat
34907,https://kleineanfragen.de/bremen/19/2193-bedarf-an-familiengerechten-einfamilienhaeusern-reihenhaeusern-mietwohnungen-und-die-entwicklung-der-kaufpreise-und,19,2193,"Bedarf an familiengerechten Einfamilienhäusern, Reihenhäusern, Mietwohnungen und die Entwicklung der Kaufpreise und Mieten in Bremen und Bremerhaven",minor,2019-05-21,Bremen,,,Senat
34908,https://kleineanfragen.de/bremen/19/2192-abiturfragen-aus-dem-gemeinsamen-abituraufgabenpool-der-laender,19,2192,Abiturfragen aus dem gemeinsamen Abituraufgabenpool der Länder,minor,2019-05-14,Bremen,FDP,,Senat
34909,https://kleineanfragen.de/bremen/19/2191-stand-entwicklung-und-strategie-zu-erneuerbaren-energien-im-land-bremen,19,2191,"Stand, Entwicklung und Strategie zu erneuerbaren Energien im Land Bremen",minor,2019-05-14,Bremen,FDP,,Senat
34910,https://kleineanfragen.de/bremen/19/2178-landesmindestlohnerhoehung-auswirkungen-auf-die-oeffentlichen-betriebe-und-den-oeffentlichen-haushalt,19,2178,Landesmindestlohnerhöhung – Auswirkungen auf die öffentlichen Betriebe und den öffentlichen Haushalt,minor,2019-05-07,Bremen,FDP,,Senat
34911,https://kleineanfragen.de/bremen/19/2177-oeffentliche-kultur-veranstaltungen-und-der-klimaschutz,19,2177,Öffentliche (Kultur-)Veranstaltungen und der Klimaschutz,minor,2019-05-07,Bremen,Die Grünen,,Senat
34912,https://kleineanfragen.de/bremen/19/2176-agenda-2030-und-die-relevanz-fuer-bremen-wie-werden-die-globalen-nachhaltigkeitsziele-in-bremen-umgesetzt,19,2176,Agenda 2030 und die Relevanz für Bremen. Wie werden die globalen Nachhaltigkeitsziele in Bremen umgesetzt?,minor,2019-05-07,Bremen,FDP,,Senat
34913,https://kleineanfragen.de/bremen/19/2161-landesrechtliche-zustaendigkeit-fuer-einen-mietendeckel-teil-ii,19,2161,Landesrechtliche Zuständigkeit für einen Mietendeckel – Teil II –,minor,2019-04-30,Bremen,SPD,,Senat
34914,https://kleineanfragen.de/bremen/19/2160-mehr-schiffe-als-lkw-autonome-binnenschifffahrt-in-bremen-testen,19,2160,Mehr Schiffe als LKW – Autonome Binnenschifffahrt in Bremen testen,minor,2019-04-30,Bremen,SPD,,Senat
34915,https://kleineanfragen.de/bremen/19/2148-it-sicherheit-in-bremischen-krankenhaeusern,19,2148,IT-Sicherheit in bremischen Krankenhäusern,minor,2019-04-23,Bremen,Die Grünen,,Senat
34916,https://kleineanfragen.de/bremen/19/2147-situation-der-lehrbeauftragten-an-den-bremischen-hochschulen,19,2147,Situation der Lehrbeauftragten an den bremischen Hochschulen,minor,2019-04-23,Bremen,Die Linke,,Senat
