,html_url,legislative_term,reference,title,interpellation_type,published_at,body,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
48103,https://kleineanfragen.de/mecklenburg-vorpommern/6/5936-ortsumgehung-liepgarten,6,5936,Ortsumgehung Liepgarten,minor,2016-09-26,Mecklenburg-Vorpommern,Die Grünen,Ulrike Berger,"Ministerium für Energie, Infrastruktur und Landesentwicklung"
48104,https://kleineanfragen.de/mecklenburg-vorpommern/6/5934-vorsorgeuntersuchungen-fuer-kinder-in-mecklenburg-vorpommern,6,5934,Vorsorgeuntersuchungen für Kinder in Mecklenburg-Vorpommern,minor,2016-09-26,Mecklenburg-Vorpommern,Die Linke,Karen Stramm,"Ministerium für Arbeit, Gleichstellung und Soziales"
48105,https://kleineanfragen.de/mecklenburg-vorpommern/6/5931-notaerzte-in-mecklenburg-vorpommern,6,5931,Notärzte in Mecklenburg-Vorpommern,minor,2016-09-26,Mecklenburg-Vorpommern,Die Linke,Karen Stramm,"Ministerium für Arbeit, Gleichstellung und Soziales"
48106,https://kleineanfragen.de/mecklenburg-vorpommern/6/5930-errichtung-von-windkraftanlagen-sowie-ausgleichmassnahmen-und-zahlungen,6,5930,Errichtung von Windkraftanlagen sowie Ausgleichmaßnahmen und -zahlungen,minor,2016-09-26,Mecklenburg-Vorpommern,Die Linke,Barbara Borchardt,"Ministerium für Landwirtschaft, Umwelt und Verbraucherschutz"
48107,https://kleineanfragen.de/mecklenburg-vorpommern/6/5923-situation-des-agrobiotechnikums-gross-luesewitz,6,5923,Situation des Agrobiotechnikums Groß Lüsewitz,minor,2016-09-26,Mecklenburg-Vorpommern,Die Linke,Fritz Tack;Helmut Holter,"Ministerium für Landwirtschaft, Umwelt und Verbraucherschutz"
48108,https://kleineanfragen.de/mecklenburg-vorpommern/6/5910-aktuelle-situation-der-tierproduktion-in-mecklenburg-vorpommern,6,5910,Aktuelle Situation der Tierproduktion in Mecklenburg-Vorpommern,minor,2016-09-26,Mecklenburg-Vorpommern,Die Linke,Fritz Tack,"Ministerium für Landwirtschaft, Umwelt und Verbraucherschutz"
48109,https://kleineanfragen.de/mecklenburg-vorpommern/6/5932-berichterstattung-des-ndr-im-august-september-2016-und-regelungen-zur-berichterstattung,6,5932,Berichterstattung des NDR im August/September 2016 und Regelungen zur Berichterstattung,minor,2016-09-23,Mecklenburg-Vorpommern,Die Linke,Barbara Borchardt,Staatskanzlei
48110,https://kleineanfragen.de/mecklenburg-vorpommern/6/5921-entwicklung-der-beschaeftigung-sowie-der-qualifikationsspezifischen-arbeitslosigkeit-und-langzeitarbeitslosigkeit,6,5921,Entwicklung der Beschäftigung sowie der qualifikationsspezifischen Arbeitslosigkeit und Langzeitarbeitslosigkeit in Mecklenburg-Vorpommern,minor,2016-09-22,Mecklenburg-Vorpommern,Die Linke,Henning Foerster,"Ministerium für Arbeit, Gleichstellung und Soziales"
48111,https://kleineanfragen.de/mecklenburg-vorpommern/6/5913-aktuelle-situation-bei-der-abwehr-der-afrikanischen-schweinepest-asp,6,5913,Aktuelle Situation bei der Abwehr der Afrikanischen Schweinepest (ASP),minor,2016-09-22,Mecklenburg-Vorpommern,Die Linke,Fritz Tack,"Ministerium für Landwirtschaft, Umwelt und Verbraucherschutz"
48112,https://kleineanfragen.de/mecklenburg-vorpommern/6/5919-umsetzung-des-esf-2014-bis-2020-und-arbeit-der-regionalbeiraete,6,5919,Umsetzung des ESF 2014 bis 2020 und Arbeit der Regionalbeiräte,minor,2016-09-21,Mecklenburg-Vorpommern,Die Linke,Henning Foerster,"Ministerium für Arbeit, Gleichstellung und Soziales"
48113,https://kleineanfragen.de/mecklenburg-vorpommern/6/5900-oekokontomassnahme-oekologische-aufwertung-des-diedrichshaeger-moores-bei-warnemuende,6,5900,Ökokontomaßnahme „Ökologische Aufwertung des Diedrichshäger Moores“ bei Warnemünde,minor,2016-09-19,Mecklenburg-Vorpommern,Die Grünen,Ursula Karlowski,"Ministerium für Landwirtschaft, Umwelt und Verbraucherschutz"
48114,https://kleineanfragen.de/mecklenburg-vorpommern/6/5917-aktivitaetenmeldung-der-landesregierung-2011-bis-2016-sowie-fuer-die-woche-vom-22-08-bis-28-08-2016,6,5917,Aktivitätenmeldung der Landesregierung 2011 bis 2016 sowie für die Woche vom 22.08. bis 28.08.2016,minor,2016-09-16,Mecklenburg-Vorpommern,Die Linke,Barbara Borchardt,Staatskanzlei
48115,https://kleineanfragen.de/mecklenburg-vorpommern/6/5831-polizeieinsaetze-in-unterkuenften-fuer-asylbewerber-und-oder-asylanten-in-der-landeshauptstadt-schwerin-im-monat,6,5831,Polizeieinsätze in Unterkünften für Asylbewerber und/oder Asylanten in der Landeshauptstadt Schwerin im Monat Juni 2016,minor,2016-09-16,Mecklenburg-Vorpommern,NPD,David Petereit,Ministerium für Inneres und Sport
48116,https://kleineanfragen.de/mecklenburg-vorpommern/6/5830-polizeieinsaetze-in-unterkuenften-fuer-asylbewerber-und-oder-asylanten-in-der-landeshauptstadt-schwerin-im-monat,6,5830,Polizeieinsätze in Unterkünften für Asylbewerber und/oder Asylanten in der Landeshauptstadt Schwerin im Monat Mai 2016,minor,2016-09-16,Mecklenburg-Vorpommern,NPD,David Petereit,Ministerium für Inneres und Sport
48117,https://kleineanfragen.de/mecklenburg-vorpommern/6/5829-polizeieinsaetze-in-unterkuenften-fuer-asylbewerber-und-oder-asylanten-in-der-landeshauptstadt-schwerin-im-monat,6,5829,Polizeieinsätze in Unterkünften für Asylbewerber und/oder Asylanten in der Landeshauptstadt Schwerin im Monat April 2016,minor,2016-09-16,Mecklenburg-Vorpommern,NPD,David Petereit,Ministerium für Inneres und Sport
48118,https://kleineanfragen.de/mecklenburg-vorpommern/6/5828-polizeieinsaetze-in-unterkuenften-fuer-asylbewerber-und-oder-asylanten-in-der-landeshauptstadt-schwerin-im-monat,6,5828,Polizeieinsätze in Unterkünften für Asylbewerber und/oder Asylanten in der Landeshauptstadt Schwerin im Monat März 2016,minor,2016-09-16,Mecklenburg-Vorpommern,NPD,David Petereit,Ministerium für Inneres und Sport
