,html_url,legislative_term,reference,title,interpellation_type,published_at,body,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
59304,https://kleineanfragen.de/nordrhein-westfalen/16/15093-schwierige-anerkennung-von-dienstunfaellen-bei-der-polizei,16,15093,Schwierige Anerkennung von Dienstunfällen bei der Polizei?,minor,2017-05-31,Nordrhein-Westfalen,CDU,Gregor Golland,Ministerium für Inneres und Kommunales
59305,https://kleineanfragen.de/nordrhein-westfalen/16/15092-wer-ist-zustaendig-fuer-die-videoueberwachung-auf-den-strassen-in-nordrhein-westfalen,16,15092,Wer ist zuständig für die Videoüberwachung auf den Straßen in Nordrhein-Westfalen?,minor,2017-05-31,Nordrhein-Westfalen,Piraten,Frank Herrmann,"Ministerium für Bauen, Wohnen, Stadtentwicklung und Verkehr"
59306,https://kleineanfragen.de/nordrhein-westfalen/16/15091-bodycams-im-einsatz-in-nrw-was-macht-die-polizei-was-nuetzt-den-buergerinnen-und-buergern,16,15091,"Bodycams im Einsatz in NRW - Was macht die Polizei, was nützt den Bürgerinnen
und Bürgern?",minor,2017-05-31,Nordrhein-Westfalen,Piraten,Frank Herrmann,Ministerium für Inneres und Kommunales
59307,https://kleineanfragen.de/nordrhein-westfalen/16/15090-kurzfristige-absage-von-schulungen-fuer-honorarkraefte-zur-pflegebegutachtung-warum-wurden-die-betroffenen-ohne,16,15090,Kurzfristige Absage von Schulungen für Honorarkräfte zur Pflegebegutachtung – warum wurden die Betroffenen ohne Angabe von Gründen im Regen stehen gelassen?,minor,2017-05-31,Nordrhein-Westfalen,FDP,Susanne Schneider,"Ministerium für Gesundheit, Emanzipation, Pflege und Alter"
59308,https://kleineanfragen.de/nordrhein-westfalen/16/15089-wofuer-laesst-die-landesregierung-drohnen-fliegen,16,15089,Wofür lässt die Landesregierung Drohnen fliegen?,minor,2017-05-31,Nordrhein-Westfalen,Piraten,Frank Herrmann,Ministerium für Inneres und Kommunales
59309,https://kleineanfragen.de/nordrhein-westfalen/16/15087-buerokratieabbau-warum-wenden-die-eichbehoerden-in-nordrhein-westfalen-37-abs-3-mess-und-eichgesetz-nicht-an,16,15087,Bürokratieabbau: Warum wenden die Eichbehörden in Nordrhein-Westfalen § 37 Abs. 3 Mess- und Eichgesetz nicht an?,minor,2017-05-31,Nordrhein-Westfalen,CDU,Hendrik Wüst,"Ministerium für Wirtschaft, Energie, Industrie, Mittelstand und Handwerk"
59310,https://kleineanfragen.de/nordrhein-westfalen/16/15086-sind-die-kriterien-fuer-die-reaktivierung-ehemaliger-lehrkraefte-so-schlecht-ausgestaltet-dass-diese-unmittelbar,16,15086,"Sind die Kriterien für die ""Reaktivierung"" ehemaliger Lehrkräfte so schlecht ausgestaltet, dass diese unmittelbar wieder kündigen?",minor,2017-05-31,Nordrhein-Westfalen,FDP,Ingola Stefanie Schmitz,Ministerium für Schule und Weiterbildung
59311,https://kleineanfragen.de/nordrhein-westfalen/16/15085-befoerderungs-und-stellenbesetzungsblockade-in-der-kreispolizeibehoerde-mettmann-wie-lange-nimmt-die,16,15085,Beförderungs- und Stellenbesetzungsblockade in der Kreispolizeibehörde Mettmann –Wie lange nimmt die Landesregierung noch die vorherrschenden Benachteiligungen aufgrund der verfassungswidrigen Frauenquote billigend in Kauf?,minor,2017-05-29,Nordrhein-Westfalen,FDP,Marc Lürbke;Ralf Witzel;Dirk Wedel,Ministerium für Inneres und Kommunales
59312,https://kleineanfragen.de/nordrhein-westfalen/16/15084-befoerderungs-und-stellenbesetzungsblockade-im-polizeipraesidium-bonn-wie-lange-nimmt-die-landesregierung-noch-die,16,15084,Beförderungs- und Stellenbesetzungsblockade im Polizeipräsidium Bonn – Wie lange nimmt die Landesregierung noch die vorherrschenden Benachteiligungen aufgrund der verfassungswidrigen Frauenquote billigend in Kauf?,minor,2017-05-29,Nordrhein-Westfalen,FDP,Marc Lürbke;Ralf Witzel;Joachim Stamp,Ministerium für Inneres und Kommunales
59313,https://kleineanfragen.de/nordrhein-westfalen/16/15082-befoerderungs-und-stellenbesetzungsblockade-im-polizeipraesidium-duesseldorf-wie-lange-nimmt-die-landesregierung,16,15082,Beförderungs- und Stellenbesetzungsblockade im Polizeipräsidium Düsseldorf –Wie lange nimmt die Landesregierung noch die vorherrschenden Benachteiligungen aufgrund der verfassungswidrigen Frauenquote billigend in Kauf?,minor,2017-05-29,Nordrhein-Westfalen,FDP,Marc Lürbke;Ralf Witzel,Ministerium für Inneres und Kommunales
