,html_url,legislative_term,reference,title,interpellation_type,published_at,body,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
39371,https://kleineanfragen.de/bundestag/19/19878-digitale-bildungsinhalte-in-der-fruehkindlichen-bildung,19,19878,Digitale Bildungsinhalte in der Frühkindlichen Bildung,minor,2020-06-11,Bundestag,FDP,Britta Dassler;Matthias Seestern,"Bundesministerium für Familie, Senioren, Frauen und Jugend"
39372,https://kleineanfragen.de/bundestag/19/19876-unterstuetzung-der-zivilgesellschaft-waehrend-und-nach-der-corona-krise,19,19876,Unterstützung der Zivilgesellschaft während und nach der Corona-Krise,minor,2020-06-11,Bundestag,FDP,Renata Alt;Katja Suding;Grigorios Aggelidis,"Bundesministerium für Familie, Senioren, Frauen und Jugend"
39373,https://kleineanfragen.de/bundestag/19/19875-strafbarkeitsluecke-bei-183-stgb,19,19875,Strafbarkeitslücke bei § 183 StGB,minor,2020-06-11,Bundestag,AfD,Tobias Peterka;Jens Maier;Stephan Brandner,Bundesministerium der Justiz und für Verbraucherschutz
39374,https://kleineanfragen.de/bundestag/19/19868-rahmenbedingungen-fuer-ladeinfrastruktur-und-digitalisierung,19,19868,Rahmenbedingungen für Ladeinfrastruktur und Digitalisierung,minor,2020-06-10,Bundestag,FDP,Hagen Reinhold;Oliver Luksic,Bundesministerium für Wirtschaft und Energie
39375,https://kleineanfragen.de/bundestag/19/19867-projekte-im-abschlussbericht-der-kohlekommission,19,19867,Projekte im Abschlussbericht der Kohlekommission,minor,2020-06-10,Bundestag,AfD,Steffen Kotré;Heiko Heßenkemper;Tino Chrupalla,Bundesministerium für Wirtschaft und Energie
39376,https://kleineanfragen.de/bundestag/19/17662-die-deutsche-ruestungskooperation-mit-der-tuerkei-vor-dem-hintergrund-der-spannungen-mit-zypern,19,17662,Die deutsche Rüstungskooperation mit der Türkei vor dem Hintergrund der Spannungen mit Zypern,minor,2020-03-06,Bundestag,Die Linke,Alexander Neu;Zaklin Nastic;Heike Hänsel;Sevim Dağdelen,Auswärtiges Amt
39377,https://kleineanfragen.de/bundestag/19/16988-sicherstellung-der-versorgung-bei-schwangerschaftsabbruechen,19,16988,Sicherstellung der Versorgung bei Schwangerschaftsabbrüchen,minor,2020-02-03,Bundestag,Die Linke,Matthias Birkwald;Doris Maria Achelwilm;Cornelia Möhring,"Bundesministerium für Familie, Senioren, Frauen und Jugend"
39378,https://kleineanfragen.de/bundestag/19/16987-iron-march-und-die-atomwaffen-division,19,16987,"""Iron March"" und die ""Atomwaffen Division""",minor,2020-02-03,Bundestag,FDP,Stephan Thomae;Benjamin Strasser,"Bundesministerium des Innern, für Bau und Heimat"
39379,https://kleineanfragen.de/bundestag/19/16986-waermeerzeugung-in-den-kasernen-der-bundeswehr,19,16986,Wärmeerzeugung in den Kasernen der Bundeswehr,minor,2020-02-03,Bundestag,FDP,Christian Dürr;Ulla Ihnen;Otto Fricke,Bundesministerium der Verteidigung
39380,https://kleineanfragen.de/bundestag/19/16985-freiburger-kreis-foerderprogramm-fuer-vereinseigene-sportanlagen,19,16985,Freiburger Kreis - Förderprogramm für vereinseigene Sportanlagen,minor,2020-01-31,Bundestag,FDP,Marcel Klinge;Stephan Thomae;Britta Dassler,"Bundesministerium des Innern, für Bau und Heimat"
39381,https://kleineanfragen.de/bundestag/19/16984-einflussnahme-von-interessenvertreterinnen-und-interessenvertretern-auf-den-gesetzentwurf-der-bundesregierung,19,16984,"Einflussnahme von Interessenvertreterinnen und Interessenvertretern auf den Gesetzentwurf der Bundesregierung - Entwurf eines Gesetzes zur Änderung des Umweltauditgesetzes, des Atomgesetzes, des Standortauswahlgesetzes, der Endlagervorausleistungsverordnung und anderer Gesetze und Verordnungen (Bundesratsdrucksache 398/19)",minor,2020-01-31,Bundestag,Die Linke,Petra Sitte;Jan Korte,"Bundesministerium für Umwelt, Naturschutz und nukleare Sicherheit"
39382,https://kleineanfragen.de/bundestag/19/16983-einflussnahme-von-interessenvertreterinnen-und-interessenvertretern-auf-den-gesetzentwurf-der-bundesregierung,19,16983,Einflussnahme von Interessenvertreterinnen und Interessenvertretern auf den Gesetzentwurf der Bundesregierung - Entwurf eines Gesetzes über einen nationalen Zertifikatehandel für Brennstoffemissionen (Brennstoffemissionshandelsgesetz - BEHG) (Bundesratsdrucksache 533/19),minor,2020-01-31,Bundestag,Die Linke,Friedrich Straetmanns;Petra Sitte;Jan Korte,"Bundesministerium für Umwelt, Naturschutz und nukleare Sicherheit"
39383,https://kleineanfragen.de/bundestag/19/16975-moeglichkeiten-fuer-eine-eu-seenotrettungsmission-im-mittelmeer,19,16975,Möglichkeiten für eine EU-Seenotrettungsmission im Mittelmeer,minor,2020-01-31,Bundestag,Die Linke,Michel Brandt;Gökay Akbulut;Andrej Hunko,Auswärtiges Amt
39384,https://kleineanfragen.de/bundestag/19/16974-neue-technologien-zum-schutz-von-rehkitzen-vor-landwirtschaftlichen-maschinen,19,16974,Neue Technologien zum Schutz von Rehkitzen vor landwirtschaftlichen Maschinen,minor,2020-01-31,Bundestag,FDP,Frank Sitta;Karlheinz Busen,Bundesministerium für Ernährung und Landwirtschaft
39385,https://kleineanfragen.de/bundestag/19/16973-partizipation-von-kindern-und-jugendlichen,19,16973,Partizipation von Kindern und Jugendlichen,minor,2020-01-31,Bundestag,FDP,Daniel Föst;Katja Suding;Matthias Seestern,"Bundesministerium für Familie, Senioren, Frauen und Jugend"
39386,https://kleineanfragen.de/bundestag/19/16972-wirksamkeit-der-massnahmen-zur-korruptionsbekaempfung-in-der-internationalen-zusammenarbeit,19,16972,Wirksamkeit der Maßnahmen zur Korruptionsbekämpfung in der internationalen Zusammenarbeit,minor,2020-01-31,Bundestag,Die Grünen,Uwe Kekeritz;Ottmar von Holtz,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
39387,https://kleineanfragen.de/bundestag/19/16971-umfahrung-der-ortslage-malchow-in-berlin,19,16971,Umfahrung der Ortslage Malchow in Berlin,minor,2020-01-31,Bundestag,Die Grünen,Stephan Kühn;Stefan Gelbhaar,Bundesministerium für Verkehr und digitale Infrastruktur
39388,https://kleineanfragen.de/bundestag/19/16970-zustand-von-bundesstrassen-und-bundesautobahnen-in-hamburg,19,16970,Zustand von Bundesstraßen und Bundesautobahnen in Hamburg,minor,2020-01-31,Bundestag,FDP,Frank Sitta;Wieland Schinnenburg,Bundesministerium für Verkehr und digitale Infrastruktur
39389,https://kleineanfragen.de/bundestag/19/16968-laermschutz-an-schienenstrecken,19,16968,Lärmschutz an Schienenstrecken,minor,2020-01-31,Bundestag,Die Linke,Lorenz Beutin;Gesine Lötzsch;Sabine Leidig,Bundesministerium für Verkehr und digitale Infrastruktur
39390,https://kleineanfragen.de/bundestag/19/16967-planungsbeschleunigung-von-verkehrsprojekten-am-beispiel-der-b10-raum-geislingen,19,16967,Planungsbeschleunigung von Verkehrsprojekten am Beispiel der B10 - Raum Geislingen,minor,2020-01-31,Bundestag,FDP,Frank Sitta;Christian Jung,Bundesministerium für Verkehr und digitale Infrastruktur
39391,https://kleineanfragen.de/bundestag/19/16966-zuganbindungen-deutscher-flughaefen,19,16966,Zuganbindungen deutscher Flughäfen,minor,2020-01-31,Bundestag,FDP,Frank Sitta;Torsten Herbst,Bundesministerium für Verkehr und digitale Infrastruktur
39392,https://kleineanfragen.de/bundestag/19/16965-zustand-von-bahnhoefen-in-sachsen,19,16965,Zustand von Bahnhöfen in Sachsen,minor,2020-01-31,Bundestag,FDP,Christian Jung;Frank Sitta;Torsten Herbst,Bundesministerium für Verkehr und digitale Infrastruktur
39393,https://kleineanfragen.de/bundestag/19/16964-anwendung-der-umweltvertraeglichkeitspruefung-bei-verkehrsprojekten,19,16964,Anwendung der Umweltverträglichkeitsprüfung bei Verkehrsprojekten,minor,2020-01-31,Bundestag,FDP,Christian Jung;Frank Sitta;Torsten Herbst,Bundesministerium für Verkehr und digitale Infrastruktur
39394,https://kleineanfragen.de/bundestag/19/16963-einflussnahme-von-interessenvertreterinnen-und-interessenvertretern-auf-den-gesetzentwurf-der-bundesregierung,19,16963,Einflussnahme von Interessenvertreterinnen und Interessenvertretern auf den Gesetzentwurf der Bundesregierung - Entwurf eines Gesetzes zur Verbesserung der Rahmenbedingungen luftsicherheitsrechtlicher Zuverlässigkeitsüberprüfungen (Bundesratsdrucksache 576/19),minor,2020-01-31,Bundestag,Die Linke,Friedrich Straetmanns;Petra Sitte;Jan Korte,"Bundesministerium des Innern, für Bau und Heimat"
39395,https://kleineanfragen.de/bundestag/19/16954-fiskalische-nachhaltigkeit-der-rentenversicherung,19,16954,Fiskalische Nachhaltigkeit der Rentenversicherung,major,2020-01-30,Bundestag,FDP,Johannes Vogel;Otto Fricke,Bundesministerium für Arbeit und Soziales
39396,https://kleineanfragen.de/bundestag/19/16953-rueckwirkende-einbeziehung-der-ddr-altuebersiedlerinnen-und-ddr-altuebersiedler-in-die-gesetzgebung-zur,19,16953,Rückwirkende Einbeziehung der DDR-Altübersiedlerinnen und DDR-Altübersiedler in die Gesetzgebung zur Rentenüberleitung,major,2020-01-30,Bundestag,Die Linke,Dietmar Bartsch;Matthias Höhn;Matthias Birkwald,Bundesministerium für Arbeit und Soziales
39397,https://kleineanfragen.de/bundestag/19/16934-evaluation-und-verwaltung-der-foerderprogramme-des-bundes,19,16934,Evaluation und Verwaltung der Förderprogramme des Bundes,minor,2020-01-30,Bundestag,Die Linke,Nicole Gohlke;Anke Domscheit-Berg;Petra Sitte,Bundesministerium der Finanzen
39398,https://kleineanfragen.de/bundestag/19/16933-einflussnahme-von-interessenvertreterinnen-und-interessenvertretern-auf-den-gesetzentwurf-der-bundesregierung,19,16933,Einflussnahme von Interessenvertreterinnen und Interessenvertretern auf den Gesetzentwurf der Bundesregierung - Entwurf eines Gesetzes zur beschleunigten Beschaffung im Bereich der Verteidigung und Sicherheit und zur Optimierung der Vergabestatistik (Bundesratsdrucksache 583/19),minor,2020-01-30,Bundestag,Die Linke,Petra Sitte;Jan Korte,Bundesministerium für Wirtschaft und Energie
39399,https://kleineanfragen.de/bundestag/19/16932-einflussnahme-von-interessenvertreterinnen-und-interessenvertretern-auf-den-gesetzentwurf-der-bundesregierung,19,16932,Einflussnahme von Interessenvertreterinnen und Interessenvertretern auf den Gesetzentwurf der Bundesregierung - Entwurf eines Gesetzes zur Änderung des Energiewirtschaftsgesetzes zur Umsetzung der Richtlinie (EU) 2019/692 des Europäischen Parlamentes und des Rates über gemeinsame Vorschriften für den Erdgasbinnenmarkt (Bundesratsdrucksache 401/19),minor,2020-01-30,Bundestag,Die Linke,Petra Sitte;Jan Korte,Bundesministerium für Wirtschaft und Energie
39400,https://kleineanfragen.de/bundestag/19/16931-einflussnahme-von-interessenvertreterinnen-und-interessenvertretern-auf-den-gesetzentwurf-der-bundesregierung,19,16931,Einflussnahme von Interessenvertreterinnen und Interessenvertretern auf den Gesetzentwurf der Bundesregierung - Entwurf eines Gesetzes zur Änderung des Erdölbevorratungsgesetzes (Bundesratsdrucksache 399/19),minor,2020-01-30,Bundestag,Die Linke,Friedrich Straetmanns;Petra Sitte;Jan Korte,Bundesministerium für Wirtschaft und Energie
39401,https://kleineanfragen.de/bundestag/19/16929-der-zusammenbruch-der-private-equity-gesellschaft-abraaj-und-folgen-fuer-die-deutsche-investitions-und,19,16929,Der Zusammenbruch der Private-Equity-Gesellschaft Abraaj und Folgen für die Deutsche Investitions- und Entwicklungsgesellschaft DEG,minor,2020-01-29,Bundestag,Die Linke,Fabio Valeriano Lanfranco De Masi;Eva Schreiber,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
39402,https://kleineanfragen.de/bundestag/19/16928-fonds-in-der-deutschen-entwicklungszusammenarbeit,19,16928,Fonds in der deutschen Entwicklungszusammenarbeit,minor,2020-01-29,Bundestag,Die Linke,Michel Brandt;Heike Hänsel;Eva Schreiber,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
39403,https://kleineanfragen.de/bundestag/19/16882-umsetzungsstand-des-neuen-traditionserlasses-in-der-marine-nachfrage-zur-antwort-der-bundesregierung-auf-die,19,16882,"Umsetzungsstand des neuen Traditionserlasses in der Marine 
(Nachfrage zur Antwort der Bundesregierung auf die Kleine Anfrage auf Bundestagsdrucksache 19/14951)",minor,2020-01-29,Bundestag,Die Linke,Ulla Jelpke;Christine Buchholz;Jan Korte,Bundesministerium der Verteidigung
