,person,party
0,Dr. Bernhard Lasotta,CDU
1,Gernot Gruber,SPD
2,Andreas Glück,FDP/DVP
3,Dr. Hans-Ulrich Rülke,FDP/DVP
4,Karl Rombach,CDU
5,Paul Locherer,CDU
6,Dr. Marianne Engeser,CDU
7,Dr. Friedrich Bullinger,FDP/DVP
8,Norbert Beck,CDU
9,Thomas Blenke,CDU
10,Martin Rivoir,SPD
11,Dr. Reinhard Löffler,CDU
12,Ulrich Müller,CDU
13,Bettina Meier-Augenstein,CDU
14,Tobias Wald,CDU
15,Jochen Haußmann,FDP/DVP
16,Niko Reith,FDP/DVP
17,Andreas Deuschle,CDU
18,Karl-Wilhelm Röhm,CDU
19,Dieter Hillebrand,CDU
20,Manfred Lucha,Bündnis 90/Die Grünen
21,Dr. Ulrich Goll,FDP/DVP
22,Dr. Patrick Rapp,CDU
23,Andrea Lindlohr,Bündnis 90/Die Grünen
24,Dr. Monika Stolz,CDU
25,Claus Paal,CDU
26,Johannes Stober,SPD
27,Dr. Wolfgang Reinhart,CDU
28,Friedlinde Gurr-Hirsch,CDU
29,Georg Wacker,CDU
30,Wilfried Klenk,CDU
31,Konrad Epple,CDU
32,Wolfgang Reuther,CDU
33,Thaddäus Kunzmann,CDU
34,Bernd Hitzler,CDU
35,Marcel Schwehr,CDU
36,Paul Nemeth,CDU
37,Peter Hauk,CDU
38,Alexander Throm,CDU
39,Sabine Kurtz,CDU
40,Karl Traub,CDU
41,Felix Schreiner,CDU
42,Karl Klein,CDU
43,Elke Brunnemer,CDU
44,Winfried Mack,CDU
45,Dr. Stefan Scheffold,CDU
46,Sabine Wölfle,SPD
47,Dr. Bernd Murschel,Bündnis 90/Die Grünen
48,Klaus Maier,SPD
49,Karl-Wolfgang Jägel,CDU
50,Willi Stächele,CDU
51,Rosa Grünstein,SPD
52,Werner Raab,CDU
53,Nikolaos Sakellariou,SPD
54,Rita Haller-Haid,SPD
55,Stefan Teufel,CDU
56,Rainer Hinderer,SPD
57,Ernst Kopp,SPD
58,Viktoria Schmid,CDU
59,Jutta Schiller,CDU
60,Gerhard Kleinböck,SPD
61,Ulrich Lusche,CDU
62,Josef Frey,Bündnis 90/Die Grünen
63,Joachim Kößler,CDU
64,Hans-Peter Storz,SPD
65,Klaus Herrmann,CDU
66,Alexander Salomon,Bündnis 90/Die Grünen
67,Dr. Markus Rösler,Bündnis 90/Die Grünen
68,Manfred Hollenbach,CDU
69,Guido Wolf,CDU
70,Dr. Timm Kern,FDP/DVP
71,Katrin Schütz,CDU
72,Dr. Stefan Fulst-Blei,SPD
73,Helmut Walter Rüeck,CDU
74,Volker Schebesta,CDU
75,Nicole Razavi,CDU
76,Siegfried Lehmann,Bündnis 90/Die Grünen
77,Hidir Gürakar,SPD
78,Thomas Reusch-Frey,SPD
79,Claus Schmiedel,SPD
80,Dr. Kai Schmidt-Eisenlohr,Bündnis 90/Die Grünen
81,Klaus Burger,CDU
82,Karl Zimmermann,CDU
83,Peter Hofelich,SPD
84,Wolfgang Raufelder,Bündnis 90/Die Grünen
85,Thomas Marwein,Bündnis 90/Die Grünen
86,Daniel Renkonen,Bündnis 90/Die Grünen
87,Alexander Schoch,Bündnis 90/Die Grünen
88,Bärbl Mielich,Bündnis 90/Die Grünen
89,AlexanderSchoch,Bündnis 90/Die Grünen
90,Beate Böhlen,Bündnis 90/Die Grünen
91,Arnulf Freiherr von Eyb,CDU
92,Matthias Pröfrock,CDU
93,Dr. Bullinger,FDP/DVP
94,Heribert Rech,CDU
95,Helmut Rau,CDU
96,Gerhard Stratthaus,CDU
97,Jürgen Filius,Bündnis 90/Die Grünen
98,Hans-Ulrich Rülke,FDP/DVP
99,Leopold Grimm,FDP/DVP
100,Petra Häffner,Bündnis 90/Die Grünen
101,Gabi Rolland,SPD
102,Hans-Ulrich Sckerl,Bündnis 90/Die Grünen
103,Walter Heiler,SPD
104,Reinhold Pix,Bündnis 90/Die Grünen
105,Edith Sitzmann,Bündnis 90/Die Grünen
106,Rudolf Köberle,CDU
107,Peter Schneider,CDU
108,Manfred Groh,CDU
109,Hans-Peter Stortz,SPD
110,Günther-Martin Pauli,CDU
111,Wolfgang Drexler,SPD
112,Sandra Boser,Bündnis 90/Die Grünen
113,Nikolaus Tschenk,Bündnis 90/Die Grünen
114,Marianne Engeser,CDU
115,Dr. Dietrich Birk,CDU
116,Helen Heberer,SPD
117,Klaus Martin Burger,CDU
118,Georg Nelius,SPD
119,Alfred Winkler,SPD
120,Monika Stolz,CDU
121,Florian Wahl,SPD
122,Klaus Käppeler,SPD
123,Hans-Martin Haller,SPD
124,Christoph Bayer,SPD
125,Klaus Hermann,CDU
126,Andreas Schwarz,Bündnis 90/Die Grünen
127,Brigitte Lösch,Bündnis 90/Die Grünen
128,Thomas Poreski,Bündnis 90/Die Grünen
129,Sascha Binder,SPD
130,Martin Hahn,Bündnis 90/Die Grünen
131,Thomas Funk,SPD
132,Tanja Gönner,CDU
133,Charlotte Schneidewind-Hartnagel,Bündnis 90/Die Grünen
134,Wilhelm Halder,Bündnis 90/Die Grünen
135,Werner Wölfle,Bündnis 90/Die Grünen
136,Muhterem Aras,Bündnis 90/Die Grünen
137,Jörg Fritz,Bündnis 90/Die Grünen
138,Daniel Lede Abal,Bündnis 90/Die Grünen
139,Nico Weinmann,FDP/DVP
140,Ulli Hockenberger,CDU
141,Christine Neumann-Martin,CDU
142,Joachim Kößler,CDU
143,Hans Peter Stauch,AfD
144,Dr. Timm Kern,FDP/DVP
145,Andreas Glück,FDP/DVP
146,Thomas Axel Palka,AfD
147,Thomas Palka,ABW
148,Dr. Erik Schweickert,FDP/DVP
149,Rainer Stickelberger,SPD
150,Tobias Wald,CDU
151,Fabian Gramling,CDU
152,Wilhelm Halder,Bündnis 90/Die Grünen
153,Lars Patrick Berg,AfD
154,Martin Rivoir,SPD
155,Stefan Räpple,AfD
156,Jürgen Keck,FDP/DVP
157,Sandra Boser,Bündnis 90/Die Grünen
158,Klaus Hoher,FDP/DVP
159,Peter Hofelich,SPD
160,Klaus Dürr,AfD
161,Nicole Razavi,CDU
162,Sylvia M. Felder,CDU
163,Sylvia Felder,CDU
164,Karl Rombach,CDU
165,Gerhard Kleinböck,SPD
166,Reinhold Gall,SPD
167,Georg Nelius,SPD
168,Reinhold Pix,Bündnis 90/Die Grünen
169,Dr. Stefan Fulst-Blei,SPD
170,Dr. Bernd Grimmer,AfD
171,Bernd Gögel,AfD
172,Jochen Haußmann,FDP/DVP
173,Ramazan Selcuk,SPD
174,Dr. Boris Weirauch,SPD
175,Daniel Born,SPD
176,Dr. Hans-Ulrich Rülke,FDP/DVP
177,Sascha Binder,SPD
178,Dr. Gerhard Aden,FDP/DVP
179,Dr. Wolfgang Gedeon,fraktionslos
180,Gabriele Reich-Gutjahr,FDP/DVP
181,Konrad Epple,CDU
182,Guido Wolf,CDU
183,Nese Erikli,Bündnis 90/Die Grünen
184,Dr. Friedrich Bullinger,FDP/DVP
185,Paul Nemeth,CDU
186,Bettina Lisbach,Bündnis 90/Die Grünen
187,Dr. Markus Rösler,Bündnis 90/Die Grünen
188,Dr. Rainer Balzer,ABW
189,Stefan Herre,ABW
190,Dr. Christina Baum,AfD
191,Sabine Wölfle,SPD
192,Thomas Dörflinger,CDU
193,Andreas Deuschle,CDU
194,Elke Zimmer,Bündnis 90/Die Grünen
195,Dr. Ulrich Goll,FDP/DVP
196,Anton Baron,AfD
197,Claus Paal,CDU
198,Winfried Mack,CDU
199,Dr. Albrecht Schütte,CDU
200,Manuel Hagel,CDU
201,Karl-Wilhelm Röhm,CDU
202,Gernot Gruber,SPD
203,Emil Sänze,AfD
204,Wolfgang Drexler,SPD
205,Josef Frey,Bündnis 90/Die Grünen
206,Martina Braun,Bündnis 90/Die Grünen
207,Carola Wolle,AfD
208,Sabine Kurtz,CDU
209,Jutta Niemann,Bündnis 90/Die Grünen
210,Alexander Salomon,Bündnis 90/Die Grünen
211,Raimund Haser,CDU
212,Daniel Renkonen,Bündnis 90/Die Grünen
213,Dr. Patrick Rapp,CDU
214,Udo Stein,AfD
215,Jürgen Filius,Bündnis 90/Die Grünen
216,Dr. Jörg Meuthen,ABW
217,Klaus Martin Burger,CDU
218,Klaus Burger,CDU
219,Daniel Rottmann,ABW
220,Manfred Kern,Bündnis 90/Die Grünen
221,Gabi Rolland,SPD
222,Dr. Heiner Merz,AfD
223,Dr. Wolfgang Reinhart,CDU
224,Stefan Teufel,CDU
225,Rüdiger Klos,AfD
226,Andrea Lindlohr,Bündnis 90/Die Grünen
227,Dorothea Wehinger,Bündnis 90/Die Grünen
228,Dr. Bernhard Lasotta,CDU
229,Siegfried Lorek,CDU
230,Susanne Bay,Bündnis 90/Die Grünen
231,Jürgen Walter,Bündnis 90/Die Grünen
232,Christine Neumann,CDU
233,Andreas Kenner,SPD
234,Rainer Hinderer,SPD
235,Dr. Rainer Podeswa,AfD
236,Dr. Nils Schmid,SPD
237,Ernst Kopp,SPD
238,Andreas Stoch,SPD
239,Gerhard Aden,FDP/DVP
240,Alexander Schoch,Bündnis 90/Die Grünen
241,Hermann Katzenstein,Bündnis 90/Die Grünen
242,Martin Grath,Bündnis 90/Die Grünen
243,Alexander Maier,Bündnis 90/Die Grünen
244,Georg Wacker,CDU
245,Dr. Bernd Murschel,Bündnis 90/Die Grünen
246,Hans-Ulrich Sckerl,Bündnis 90/Die Grünen
247,Arnulf Freiherr von Eyb,CDU
248,Barbara Saebel,Bündnis 90/Die Grünen
249,Daniel Lede Abal,Bündnis 90/Die Grünen
250,Abg. Dr. Christina Baum,AfD
251,Andrea Bogner-Unden,Bündnis 90/Die Grünen
252,Marion Gentges,CDU
253,Stefanie Seemann,Bündnis 90/Die Grünen
254,Petra Häffner,Bündnis 90/Die Grünen
255,Martin Hahn,Bündnis 90/Die Grünen
256,Beate Böhlen,Bündnis 90/Die Grünen
257,Felix Schreiner,CDU
258,Wilfried Klenk,CDU
259,Thekla Walker,Bündnis 90/Die Grünen
260,Thomas Blenke,CDU
261,Abg. Stefan Herre,AfD
262,Wolfgang Raufelder,Bündnis 90/Die Grünen
263,Claudia Martin,ABW
264,Dr. Erik Schweikert,FDP/DVP
265,Dr. Heinrich Kuhn,ABW
266,Andrea Schwarz,Bündnis 90/Die Grünen
267,Dr. Stefan Scheffold,CDU
268,Klaus-Günther Voigtmann,ABW
269,Christina Baum,AfD
270,Dr. Heinz Merz,AfD
271,Lars Patrick Berg fraktionslos,fraktionslos
272,Dr. Rainer Podeswa fraktionslos,fraktionslos
273,Anton Baron fraktionslos,fraktionslos
274,Carola Wolle fraktionslos,fraktionslos
275,Karl Klein,CDU
276,Florian von Brunn,SPD
277,Markus Ganserer,Bündnis 90/Die Grünen
278,Katharina Schulze,Bündnis 90/Die Grünen
279,Christine Kamm,Bündnis 90/Die Grünen
280,Verena Osgyan,Bündnis 90/Die Grünen
281,Jutta Widmann,Freie Wähler
282,Ruth Müller,SPD
283,Dr. Hans Jürgen Fahn,Freie Wähler
284,Kerstin Celina,Bündnis 90/Die Grünen
285,Thomas Mütze,Bündnis 90/Die Grünen
286,Günther Felbinger,Freie Wähler
287,Klaus Adelt,SPD
288,Rosi Steinberger,Bündnis 90/Die Grünen
289,Kathrin Sonnenholzner,SPD
290,Alexander König,CSU
291,Dr. Leopold Herz,Freie Wähler
292,Annette Karl,SPD
293,Martin Stümpfig,Bündnis 90/Die Grünen
294,Margit Wild,SPD
295,Günther Knoblauch,SPD
296,Dr. Paul Wengert,SPD
297,Florian Streibl,Freie Wähler
298,Prof. (Univ. Lima) Dr. Peter Bauer,Freie Wähler
299,Joachim Hanisch,Freie Wähler
300,Susann Biedefeld,SPD
301,Jürgen Mistol,Bündnis 90/Die Grünen
302,Dr. Christian Magerl,Bündnis 90/Die Grünen
303,Volkmar Halbleib,SPD
304,Günther Felbinger verwiesen.,fraktionslos
305,Eva Gottstein,Freie Wähler
306,Horst Arnold,SPD
307,Inge Aures,SPD
308,Dr. Simone Strohmayr,SPD
309,Isabell Zacharias,SPD
310,Ulrich Leiner,Bündnis 90/Die Grünen
311,Johann Häusler,Freie Wähler
312,Kathi Petersen,SPD
313,Martin Güll,SPD
314,Bernhard Pohl,Freie Wähler
315,Alexander Muthmann,Freie Wähler
316,Ulrike Gote,Bündnis 90/Die Grünen
317,Peter Meyer,Freie Wähler
318,Ludwig Hartmann,Bündnis 90/Die Grünen
319,Dr. Sepp Dürr,Bündnis 90/Die Grünen
320,Markus Rinderspacher,SPD
321,Thomas Gehring,Bündnis 90/Die Grünen
322,Hans-Ulrich Pfaffmann,SPD
323,Martina Fehlner,SPD
324,Gabi Schmidt,Freie Wähler
325,Georg Rosenthal,SPD
326,Franz Schindler,SPD
327,Dr. Herbert Kränzlein,SPD
328,Prof. Dr. Michael Piazolo,Freie Wähler
329,Prof. Dr. Peter Paul Gantzer,SPD
330,Gisela Sengl,Bündnis 90/Die Grünen
331,Dr. Martin Runge,Bündnis 90/Die Grünen
332,Doris Rauscher,SPD
333,Reinhold Strobl,SPD
334,Harald Güller,SPD
335,Hubert Aiwanger,Freie Wähler
336,Claudia Stamm,Bündnis 90/Die Grünen
