,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
13576,Florian von Brunn,Florian von Brunn,https://kleineanfragen.de/bayern/17/24259-verzoegerungen-und-planungs-wirrwarr-bei-der-muenchner-s-bahn,Verzögerungen und Planungs-Wirrwarr bei der Münchner S-Bahn,written,2018-12-27T00:00:00Z,SPD,"Staatsministerium für Wohnen, Bau und Verkehr","Staatsministerium für Wohnen, Bau und Verkehr"
13577,Markus Ganserer,Markus Ganserer,https://kleineanfragen.de/bayern/17/24243-verbesserung-auf-der-bahnstrecke-von-roth-nach-hilpoltstein,Verbesserung auf der Bahnstrecke von Roth nach Hilpoltstein,written,2018-12-27T00:00:00Z,Bündnis 90/Die Grünen,"Staatsministerium für Wohnen, Bau und Verkehr","Staatsministerium für Wohnen, Bau und Verkehr"
13578,Katharina Schulze,Katharina Schulze,https://kleineanfragen.de/bayern/17/24218-verbot-der-bayerischen-schiesssportgruppe-muenchen-e-v,Verbot der Bayerischen Schießsportgruppe München e.V.,written,2018-12-27T00:00:00Z,Bündnis 90/Die Grünen,Staatsministerium des Innern und für Integration,Staatsministerium des Innern und für Integration
13579,Christine Kamm,Christine Kamm,https://kleineanfragen.de/bayern/17/24209-die-arbeit-der-zentralen-auslaenderbehoerden,Die Arbeit der zentralen Ausländerbehörden,written,2018-12-27T00:00:00Z,Bündnis 90/Die Grünen,,
13580,Verena Osgyan,Verena Osgyan,https://kleineanfragen.de/bayern/17/23111-sexuelle-uebergriffe-an-der-musikhochschule-muenchen,Sexuelle Übergriffe an der Musikhochschule München,written,2018-12-27T00:00:00Z,Bündnis 90/Die Grünen,,
13581,Jutta Widmann,Jutta Widmann,https://kleineanfragen.de/bayern/17/24246-sonderzahlung-fuer-beamte,Sonderzahlung für Beamte,written,2018-12-21T00:00:00Z,Freie Wähler,"Staatsministerium der Finanzen, für Landesentwicklung und Heimat","Staatsministerium der Finanzen, für Landesentwicklung und Heimat"
13582,Ruth Müller,Ruth Müller,https://kleineanfragen.de/bayern/17/24279-umsetzung-des-bayerischen-zukunftsprogramms-geburtshilfe,Umsetzung des bayerischen Zukunftsprogramms Geburtshilfe,written,2018-12-17T00:00:00Z,SPD,Staatsministerium für Gesundheit und Pflege,Staatsministerium für Gesundheit und Pflege
13583,Dr. Hans Jürgen Fahn,Dr. Hans Jürgen Fahn,https://kleineanfragen.de/bayern/17/24278-unfaelle-und-verkehrssicherheit-gemeinde-sulzbach,Unfälle und Verkehrssicherheit Gemeinde Sulzbach,written,2018-12-17T00:00:00Z,Freie Wähler,,
13584,Dr. Hans Jürgen Fahn,Dr. Hans Jürgen Fahn,https://kleineanfragen.de/bayern/17/24277-verkehrsentlastung-im-dammbachtal,Verkehrsentlastung im Dammbachtal,written,2018-12-17T00:00:00Z,Freie Wähler,,
13585,Katharina Schulze;Kerstin Celina,Kerstin Celina;Katharina Schulze,https://kleineanfragen.de/bayern/17/24276-unterstuetzung-von-obdach-und-wohnungslosen-in-bayern,Unterstützung von Obdach- und Wohnungslosen in Bayern,written,2018-12-17T00:00:00Z,Bündnis 90/Die Grünen,,
13586,Dr. Hans Jürgen Fahn,Dr. Hans Jürgen Fahn,https://kleineanfragen.de/bayern/17/24275-verkehrssituation-sulzbach-einfuehrung-von-tempo-30-zonen,Verkehrssituation Sulzbach / Einführung von Tempo 30 Zonen,written,2018-12-17T00:00:00Z,Freie Wähler,Staatsministerium des Innern und für Integration,Staatsministerium des Innern und für Integration
13587,Thomas Mütze,Thomas Mütze,https://kleineanfragen.de/bayern/17/24274-versteigerung-beschlagnahmter-autos-und-amtlicher-dienstfahrzeuge-der-landesbehoerden-in-bayern,Versteigerung beschlagnahmter Autos und amtlicher Dienstfahrzeuge der Landesbehörden in Bayern,written,2018-12-17T00:00:00Z,Bündnis 90/Die Grünen,,
13588,Thomas Mütze,Thomas Mütze,https://kleineanfragen.de/bayern/17/24273-perspektiven-der-notaufnahmen-in-unterfranken,Perspektiven der Notaufnahmen in Unterfranken,written,2018-12-17T00:00:00Z,Bündnis 90/Die Grünen,Staatsministerium für Gesundheit und Pflege,Staatsministerium für Gesundheit und Pflege
13589,Florian von Brunn,Florian von Brunn,https://kleineanfragen.de/bayern/17/24272-neuer-lebensmittelskandal-in-landsberger-wurstfabrik-was-unternahmen-die-zustaendigen-behoerden,Neuer Lebensmittelskandal in Landsberger Wurstfabrik - was unternahmen die zuständigen Behörden?,written,2018-12-17T00:00:00Z,SPD,Staatsministerium für Umwelt und Verbraucherschutz,Staatsministerium für Umwelt und Verbraucherschutz
13590,Günther Felbinger,Günther Felbinger,https://kleineanfragen.de/bayern/17/24271-zukunft-der-berufsschulen-in-unterfranken,Zukunft der Berufsschulen in Unterfranken,written,2018-12-17T00:00:00Z,fraktionslos;fraktionslos,Staatsministerium für Unterricht und Kultus,Staatsministerium für Unterricht und Kultus
13591,Katharina Schulze,Katharina Schulze,https://kleineanfragen.de/bayern/17/24270-beobachtung-von-politikern-und-politikerinnen-der-afd-durch-das-bayerische-landesamt-fuer-verfassungsschutz-baylfv,Beobachtung von Politikern und Politikerinnen der AfD durch das Bayerische Landesamt für Verfassungsschutz (BayLfV),written,2018-12-17T00:00:00Z,Bündnis 90/Die Grünen,Staatsministerium des Innern und für Integration,Staatsministerium des Innern und für Integration
