,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
19701,Alessa Ulrike Berkenkamp,Alessa Ulrike Berkenkamp,https://kleineanfragen.de/berlin/17/19119-nachhaltigkeit-sichtbar-machen-fuer-alle-gefoerdert-und-gefordert-ein-vergleichbarer-einblick-in,"Nachhaltigkeit sichtbar machen für alle gefördert und gefordert? Ein vergleichbarer Einblick in Wirtschaftspraktiken der Landesunternehmen, Landesbeteiligungen und Anstalten öffentlichen Rechts gefördert",written,2016-10-26T00:00:00Z,Bündnis 90/Die Grünen,Senatsverwaltung für Finanzen,Senatsverwaltung für Finanzen
19702,Marianne Burkert-Eulitz,Marianne Burkert-Eulitz,https://kleineanfragen.de/berlin/17/19110-stand-der-aufarbeitung-der-unterbringung-von-jugendlichen-bei-paedophilen-durch-die-senatsjugendverwaltung-ii,Stand der Aufarbeitung der Unterbringung von Jugendlichen bei Pädophilen durch die Senatsjugendverwaltung (II),written,2016-10-20T00:00:00Z,Bündnis 90/Die Grünen,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","Senatsverwaltung für Bildung, Jugend und Wissenschaft"
19703,Jutta Matuschek,Jutta Matuschek,https://kleineanfragen.de/berlin/17/19112-soloselbststaendige,Soloselbstständige,written,2016-10-19T00:00:00Z,Die Linke,"Senatsverwaltung für Wirtschaft, Technolgie und Forschung","Senatsverwaltung für Wirtschaft, Technolgie und Forschung"
19704,Marianne Burkert-Eulitz,Marianne Burkert-Eulitz,https://kleineanfragen.de/berlin/17/19111-entwicklung-der-inneren-sicherheit-und-polizeipraesenz-an-raw-warschauer-bruecke-goerlitzer-park-und-am-kottbusser,"Entwicklung der Inneren Sicherheit und Polizeipräsenz an RAW/Warschauer Brücke, Görlitzer Park und am Kottbusser Tor",written,2016-10-19T00:00:00Z,Bündnis 90/Die Grünen,Senatsverwaltung für Inneres und Sport,Senatsverwaltung für Inneres und Sport
19705,Peter Trapp,Peter Trapp,https://kleineanfragen.de/berlin/17/19114-uebergriffe-auf-polizeibeamte-im-jahr-2015,Übergriffe auf Polizeibeamte im Jahr 2015,written,2016-10-18T00:00:00Z,CDU,Senatsverwaltung für Inneres und Sport,Senatsverwaltung für Inneres und Sport
19706,Jutta Matuschek,Jutta Matuschek,https://kleineanfragen.de/berlin/17/19113-spreepark-und-eierhaeuschen-wie-ist-der-sachstand,Spreepark und Eierhäuschen - wie ist der Sachstand?,written,2016-10-18T00:00:00Z,Die Linke,Senatsverwaltung für Stadtentwicklung und Umwelt,Senatsverwaltung für Stadtentwicklung und Umwelt
19707,Alexander J. Herrmann,Alexander J. Herrmann,https://kleineanfragen.de/berlin/17/19109-foerderung-von-hundeauslaufgebieten-in-den-bezirken,Förderung von Hundeauslaufgebieten in den Bezirken,written,2016-10-14T00:00:00Z,CDU,Senatsverwaltung für Stadtentwicklung und Umwelt,Senatsverwaltung für Stadtentwicklung und Umwelt
19708,Alexander Spies,Alexander Spies,https://kleineanfragen.de/berlin/17/19108-wie-sozial-ist-das-sozialticket,Wie sozial ist das Sozialticket?,written,2016-10-13T00:00:00Z,Piraten,"Senatsverwaltung für Wirtschaft, Technolgie und Forschung","Senatsverwaltung für Wirtschaft, Technolgie und Forschung"
19709,Alexander Spies,Alexander Spies,https://kleineanfragen.de/berlin/17/19107-menschen-ohne-festen-wohnsitz-im-land-berlin,Menschen ohne festen Wohnsitz im Land Berlin,written,2016-10-13T00:00:00Z,Piraten,Senatsverwaltung für Inneres und Sport,Senatsverwaltung für Inneres und Sport
19710,Katrin Möller,Katrin Möller,https://kleineanfragen.de/berlin/17/19106-unbegleitete-minderjaehrige-fluechtlinge-ambulantes-clearing,Unbegleitete minderjährige Flüchtlinge: Ambulantes Clearing,written,2016-10-12T00:00:00Z,Die Linke,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","Senatsverwaltung für Bildung, Jugend und Wissenschaft"
19711,Katrin Möller,Katrin Möller,https://kleineanfragen.de/berlin/17/19105-unbegleitete-minderjaehrige-fluechtlinge-in-berlin,Unbegleitete minderjährige Flüchtlinge in Berlin,written,2016-10-12T00:00:00Z,Die Linke,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","Senatsverwaltung für Bildung, Jugend und Wissenschaft"
