,html_url,legislative_term,reference,title,interpellation_type,published_at,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
0,https://kleineanfragen.de/berlin/18/23052-geistervilla-in-der-schmarjestrasse-14-in-zehlendorf,18,23052,"""Geistervilla"" in der Schmarjestraße 14 in Zehlendorf",written,2020-04-08,AfD,Dieter Neuendorf,Senatsverwaltung für Finanzen
1,https://kleineanfragen.de/berlin/18/23055-jaehrlich-5-milliarden-euro-fuer-oeffentliche-beschaffungen-rolle-rueckwaerts-zu-lasten-der-umwelt-in-zeiten-der,18,23055,Jährlich 5 Milliarden Euro für öffentliche Beschaffungen: Rolle rückwärts zu Lasten der Umwelt in Zeiten der Klimanotlage?,written,2020-04-07,SPD,Daniel Buchholz,"Senatsverwaltung für Wirtschaft, Energie, Betriebe"
2,https://kleineanfragen.de/berlin/18/23040-graffiti-und-plakatieren-in-berlin,18,23040,Graffiti und Plakatieren in Berlin,written,2020-04-07,CDU,Danny Freymark;Peter Trapp,Senatsverwaltung für Inneres und Sport
3,https://kleineanfragen.de/berlin/18/23039-massnahmen-zur-eindaemmung-des-coronavirus-in-fluechtlingsunterkuenften,18,23039,Maßnahmen zur Eindämmung des Coronavirus in Flüchtlingsunterkünften,written,2020-04-07,FDP,Sebastian Czaja,"Senatsverwaltung für Integration, Arbeit und Soziales"
4,https://kleineanfragen.de/berlin/18/22961-buergerrechte-in-krisenzeiten,18,22961,Bürgerrechte in Krisenzeiten,written,2020-04-07,AfD,Jeannette Auricht,Senatsverwaltung für Inneres und Sport
5,https://kleineanfragen.de/berlin/18/23054-ruhmeshalle-und-siegesallee,18,23054,Ruhmeshalle und Siegesallee,written,2020-04-06,AfD,Dieter Neuendorf,Senatsverwaltung für Kultur und Europa
6,https://kleineanfragen.de/berlin/18/23053-parkhaus-lietzensee,18,23053,Parkhaus Lietzensee,written,2020-04-06,AfD,Dieter Neuendorf,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz"
7,https://kleineanfragen.de/berlin/18/23038-zweckentfremdung-von-wohnraum-bei-unterkuenften-fuer-wohnungslose-frauen,18,23038,Zweckentfremdung von Wohnraum bei Unterkünften für wohnungslose Frauen,written,2020-04-06,FDP,Maren Jasper-Winter,Senatsverwaltung für Stadtentwicklung und Wohnen
8,https://kleineanfragen.de/berlin/18/23036-ausbildungs-und-studienplaetze-fuer-hebammen,18,23036,Ausbildungs- und Studienplätze für Hebammen,written,2020-04-06,FDP,Maren Jasper-Winter,Wissenschaft und Forschung;Regierender Bürgermeister
9,https://kleineanfragen.de/berlin/18/23034-angriffe-auf-gerichtsvollzieher,18,23034,Angriffe auf Gerichtsvollzieher,written,2020-04-06,CDU,Sven Rissmann,Senatsverwaltung für Justiz und Verbraucherschutz
10,https://kleineanfragen.de/berlin/18/23033-status-quo-und-nachwuchs-der-gerichtsvollzieher-in-berlin,18,23033,Status Quo und Nachwuchs der Gerichtsvollzieher in Berlin,written,2020-04-06,CDU,Sven Rissmann,Senatsverwaltung für Justiz und Verbraucherschutz
11,https://kleineanfragen.de/berlin/18/23078-belastungen-der-landeseigenen-wohnungsbaugesellschaften-durch-corona-massnahmen,18,23078,Belastungen der landeseigenen Wohnungsbaugesellschaften durch Corona-Maßnahmen,written,2020-04-03,FDP,Sibylle Meister,Senatsverwaltung für Stadtentwicklung und Wohnen
