,html_url,legislative_term,reference,title,interpellation_type,published_at,body,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
29507,https://kleineanfragen.de/brandenburg/6/12030-neuruppin-als-standort-fuer-einen-rettungshubschrauber,6,12030,Neuruppin als Standort für einen Rettungshubschrauber,minor,2019-09-24,Brandenburg,CDU,Jan Redmann,
29508,https://kleineanfragen.de/brandenburg/6/12025-besetzung-von-fuehrungspositionen-in-der-brandenburger-wissenschaftslandschaft,6,12025,Besetzung von Führungspositionen in der Brandenburger Wissenschaftslandschaft,minor,2019-09-23,Brandenburg,CDU,Andreas Gliese,"Ministerium für Wissenschaft, Forschung und Kultur"
29509,https://kleineanfragen.de/brandenburg/6/12024-belastung-der-schulen-durch-schulbilanzierung,6,12024,Belastung der Schulen durch Schulbilanzierung,minor,2019-09-23,Brandenburg,Die Grünen,Marie Luise von Halem,"Ministerium für Bildung, Jugend und Sport"
29510,https://kleineanfragen.de/brandenburg/6/12023-bekaempfung-von-bisam-und-nutria,6,12023,Bekämpfung von Bisam und Nutria,minor,2019-09-23,Brandenburg,Die Linke,Anke Schwarzenberg;Bettina Fortunato,"Ministerium für Ländliche Entwicklung, Umwelt und Landwirtschaft"
29511,https://kleineanfragen.de/brandenburg/6/12022-finanzlage-des-landes-brandenburg,6,12022,Finanzlage des Landes Brandenburg,minor,2019-09-23,Brandenburg,fraktionslos,Christoph Schulze,Ministerium der Finanzen
29512,https://kleineanfragen.de/brandenburg/6/12021-konfektionierte-abfaelle-auf-dem-ehemaligen-betriebsgelaende-der-fa-sonne-recycling-gmbh-in-hennersdorf,6,12021,"Konfektionierte Abfälle auf dem ehemaligen Betriebsgelände der Fa. ""Sonne Recycling GmbH"" in Hennersdorf",minor,2019-09-23,Brandenburg,CDU,Rainer Genilke,"Ministerium für Ländliche Entwicklung, Umwelt und Landwirtschaft"
29513,https://kleineanfragen.de/brandenburg/6/12029-tuev-bericht-ueber-die-uebergeordnete-pruefung-der-sicherheitsbeleuchtung-sicherheitsstromversorgung-des-fgt,6,12029,TÜV Bericht über die übergeordnete Prüfung der Sicherheitsbeleuchtung/Sicherheitsstromversorgung des FGT: Bereich Mainpier Mitte (Paket EK) mit Datum vom 22.3.2019 des TÜV Rheinland zum Flughafen BER,minor,2019-09-19,Brandenburg,fraktionslos,Christoph Schulze,Chef der Staatskanzlei
29514,https://kleineanfragen.de/brandenburg/6/12028-bewilligung-von-foerdermitteln-fuer-eine-legehennenanlage-durch-die-ilb-nachfrage,6,12028,"Bewilligung von Fördermitteln für eine Legehennenanlage durch die ILB, Nachfrage",minor,2019-09-19,Brandenburg,Die Grünen,Benjamin Raschke,"Ministerium für Ländliche Entwicklung, Umwelt und Landwirtschaft"
29515,https://kleineanfragen.de/brandenburg/6/12027-nachfragen-zur-antwort-der-landesregierung-auf-die-kleine-anfrage-nr-4691-gewaesserverunreinigung-und-fischsterben,6,12027,"Nachfragen zur Antwort der Landesregierung auf die Kleine Anfrage Nr. 4691, Gewässerverunreinigung und Fischsterben in der Schwarzen Elster durch den Bau der EUGAL-Pipeline",minor,2019-09-19,Brandenburg,CDU,Rainer Genilke;Dieter Dombrowski,Ministerium für Wirtschaft und Energie
29516,https://kleineanfragen.de/brandenburg/6/12026-24-statusbericht-des-tuev-rheinland-zum-flughafen-ber,6,12026,24. Statusbericht des TÜV Rheinland zum Flughafen BER,minor,2019-09-19,Brandenburg,fraktionslos,Christoph Schulze,Chef der Staatskanzlei
29517,https://kleineanfragen.de/brandenburg/6/12020-forstliche-standortskartierung-in-brandenburg,6,12020,Forstliche Standortskartierung in Brandenburg,minor,2019-09-18,Brandenburg,Die Linke,Anke Schwarzenberg,"Ministerium für Ländliche Entwicklung, Umwelt und Landwirtschaft"
29518,https://kleineanfragen.de/brandenburg/6/12014-baumassnahmen-fuer-den-ausbau-der-b-102-ortsdurchfahrt-jueterbog-zwischen-am-spring-und-knoten-ortsumgehung,6,12014,"Baumaßnahmen für den Ausbau der B 102 Ortsdurchfahrt Jüterbog zwischen ""Am Spring"" und Knoten Ortsumgehung Jüterbog (B101)",minor,2019-09-18,Brandenburg,CDU,Danny Eichelbaum,Ministerium für Infrastruktur und Landesplanung
29519,https://kleineanfragen.de/brandenburg/6/12018-straf-und-gewalttaten-in-brandenburg-nach-dem-definitionssystem-politisch-motivierte-kriminalitaet-rechts-pmk,6,12018,"Straf- und Gewalttaten in Brandenburg nach dem Definitionssystem ""Politisch motivierte Kriminalität - rechts"" (PMK-rechts) - Juli 2019",minor,2019-09-17,Brandenburg,Die Linke,Andrea Johlige;Andreas Bernig,Ministerium des Innern und für Kommunales
