,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
44577,Thomas Röwekamp;Silvia Neumeyer,Thomas Röwekamp;Silvia Neumeyer,https://kleineanfragen.de/bremen/19/2093-nutzung-von-sozialen-medien-durch-behoerden-und-institutionen-der-freien-hansestadt-bremen,Nutzung von sozialen Medien durch Behörden und Institutionen der Freien Hansestadt Bremen,minor,2019-04-09T00:00:00Z,CDU,Senat,Senat
44578,Björn Tschöpe;Stephanie Dehne,Björn Tschöpe;Stephanie Dehne,https://kleineanfragen.de/bremen/19/2088-krankenfahrtangebote-zum-hausarzt-fuer-mobilitaetseingeschraenkte-aeltere-menschen,Krankenfahrtangebote zum Hausarzt für mobilitätseingeschränkte ältere Menschen,minor,2019-04-02T00:00:00Z,SPD,Senat,Senat
44579,Thomas Röwekamp,Thomas Röwekamp,https://kleineanfragen.de/bremen/19/1641-wie-lange-zahlt-bremen-noch-mieten-fuer-leer-stehende-ungenutzte-immobilien-und-container,"Wie lange zahlt Bremen noch Mieten für leer stehende, ungenutzte Immobilien und Container?",minor,2018-04-24T00:00:00Z,CDU,Senat,Senat
44580,Sahhanim Görgü-Philipp;Dr. Maike Schaefer;Björn Fecker,Dr. Maike Schaefer;Sahhanim Görgü-Philipp;Björn Fecker,https://kleineanfragen.de/bremen/19/1557-rechtsextreme-als-ehrenamtlicher-vormund,Rechtsextreme als ehrenamtlicher Vormund?,minor,2018-02-27T00:00:00Z,Bündnis 90/Die Grünen,Senat,Senat
44581,Kristina Vogt;Miriam Strunge,Kristina Vogt;Miriam Strunge,https://kleineanfragen.de/bremen/19/897-anonyme-und-fragwuerdige-einnahmen-aus-spenden-und-sponsoring-von-unternehmen-staedtisch,Anonyme und fragwürdige Einnahmen aus Spenden und Sponsoring von Unternehmen - Städtisch,minor,2017-02-10T00:00:00Z,Die Linke,Senat,Senat
44582,Marco Lübke;Thomas vom Bruch;Thomas Röwekamp;Heiko Strohmann,Thomas Röwekamp;Dr. Thomas vom Bruch;Heiko Strohmann;Marco Lübke,https://kleineanfragen.de/bremen/19/928-entwicklung-und-verwendung-von-wettmitteln-im-lande-bremen,Entwicklung und Verwendung von Wettmitteln im Lande Bremen,minor,2017-01-31T00:00:00Z,CDU,Senat,Senat
44583,Lencke Steiner,Lencke Steiner,https://kleineanfragen.de/bremen/19/927-ausnahmefaelle-des-bundesmindestlohns-relevanz-des-landesmindestlohnes,Ausnahmefälle des Bundesmindestlohns - Relevanz des Landesmindestlohnes,minor,2017-01-31T00:00:00Z,FDP,Senat,Senat
44584,Stephanie Dehne;Björn Tschöpe;Rainer Hamann,Björn Tschöpe;Stephanie Dehne;Rainer Hamann,https://kleineanfragen.de/bremen/19/904-staub-in-der-arbeitswelt-eine-unterschaetzte-gefahr-in-der-bauwirtschaft,Staub in der Arbeitswelt - eine unterschätzte Gefahr in der Bauwirtschaft?,minor,2017-01-17T00:00:00Z,SPD,Senat,Senat
44585,Dieter Reinken;Björn Tschöpe;Jürgen Pohlmann;Andreas Kottisch,Björn Tschöpe;Jürgen Pohlmann;Dieter Reinken;Andreas Kottisch,https://kleineanfragen.de/bremen/19/903-werden-ausreichende-und-dem-bedarf-angepasste-gewerbeflaechen-angeboten,Werden ausreichende und dem Bedarf angepasste Gewerbeflächen angeboten?,minor,2017-01-17T00:00:00Z,SPD,Senat,Senat
44586,Thomas vom Bruch;Thomas Röwekamp,Thomas Röwekamp;Dr. Thomas vom Bruch,https://kleineanfragen.de/bremen/19/898-der-einfluss-des-nationalen-it-gipfels-auf-die-digitale-bildung-an-schulen-im-land-bremen,Der Einfluss des nationalen IT-Gipfels auf die digitale Bildung an Schulen im Land Bremen,minor,2017-01-10T00:00:00Z,CDU,Senat,Senat
44587,Sophia Leonidakis;Claudia Bernhard;Kristina Vogt,Kristina Vogt;Sophia Leonidakis;Claudia Bernhard,https://kleineanfragen.de/bremen/19/894-versorgung-wohnungsloser-menschen,Versorgung wohnungsloser Menschen,minor,2017-01-10T00:00:00Z,Die Linke,Senat,Senat
44588,Frank Imhoff;Thomas Röwekamp;Silvia Neumeyer,Thomas Röwekamp;Frank Imhoff;Silvia Neumeyer,https://kleineanfragen.de/bremen/19/877-koennen-bremer-bauaemter-bauen-noch-ermoeglichen,Können Bremer Bauämter bauen noch ermöglichen?,minor,2016-12-13T00:00:00Z,CDU,Senat,Senat
44589,Sybille Böschen;Björn Tschöpe,Björn Tschöpe;Sybille Böschen,https://kleineanfragen.de/bremen/19/899-welche-unterschiede-gibt-es-hinsichtlich-der-arbeitsbedingungen-zwischen-den-verschiedenen-mitarbeiterinnen,Welche Unterschiede gibt es hinsichtlich der Arbeitsbedingungen zwischen den verschiedenen Mitarbeiterinnen/Mitarbeitern des Jobcenters?,minor,2016-12-06T00:00:00Z,SPD,Senat,Senat
44590,Frank Imhoff;Jens Eckhoff;Thomas Röwekamp;Silvia Neumeyer,Thomas Röwekamp;Silvia Neumeyer;Jens Eckhoff;Frank Imhoff,https://kleineanfragen.de/bremen/19/896-zuweisungen-an-den-bund-und-nabu,Zuweisungen an den BUND und NABU,minor,2016-11-22T00:00:00Z,CDU,Senat,Senat
44591,Kristina Vogt;Miriam Strunge,Kristina Vogt;Miriam Strunge,https://kleineanfragen.de/bremen/19/757-veroeffentlichung-von-vertraegen-der-oeffentlichen-hand-gemaess-informationsfreiheitsgesetz,Veröffentlichung von Verträgen der öffentlichen Hand gemäß Informationsfreiheitsgesetz,minor,2016-09-29T00:00:00Z,Die Linke,Senat,Senat
44592,Marco Lübke;Thomas vom Bruch;Thomas Röwekamp,Thomas Röwekamp;Dr. Thomas vom Bruch;Marco Lübke,https://kleineanfragen.de/bremen/19/281-badeunfaelle-im-land-bremen,Badeunfälle im Land Bremen,minor,2016-02-16T00:00:00Z,CDU,Senat,Senat
44593,Björn Tschöpe;Patrick Öztürk;Sükrü Senkal,Björn Tschöpe;Patrick Öztürk;Sükrü Senkal,https://kleineanfragen.de/bremen/19/225-foerderung-des-niederdeutschen-im-bereich-hoerfunk-und-fernsehen,Förderung des Niederdeutschen im Bereich Hörfunk und Fernsehen,minor,2015-12-15T00:00:00Z,SPD,Senat,Senat
44594,Björn Tschöpe;Andreas Kottisch,Björn Tschöpe;Andreas Kottisch,https://kleineanfragen.de/bremen/19/224-umsetzung-der-neuen-eu-tabakrichtlinie-2014-40-eu,Umsetzung der neuen EU-Tabakrichtlinie (2014/40/EU),minor,2015-12-15T00:00:00Z,SPD,Senat,Senat
44595,Frank Imhoff;Thomas vom Bruch;Thomas Röwekamp,Thomas Röwekamp;Dr. Thomas vom Bruch;Frank Imhoff,https://kleineanfragen.de/bremen/19/223-auch-die-bremische-kuh-ist-nicht-lila,Auch die bremische Kuh ist nicht lila,minor,2015-12-15T00:00:00Z,CDU,Senat,Senat
44596,Cindi Tuncel;Kristina Vogt;Miriam Strunge,Kristina Vogt;Cindi Tuncel;Miriam Strunge,https://kleineanfragen.de/bremen/19/129-zukunft-der-bafoeg-aemter-im-land-bremen,Zukunft der BAföG-Ämter im Land Bremen,minor,2015-11-03T00:00:00Z,Die Linke,Senat,Senat
44597,Thomas vom Bruch;Thomas Röwekamp;Wilhelm Hinners,Thomas Röwekamp;Dr. Thomas vom Bruch;Wilhelm Hinners,https://kleineanfragen.de/bremen/19/125-vorratsdatenspeicherung-als-instrument-der-verbrechensbekaempfung,Vorratsdatenspeicherung als Instrument der Verbrechensbekämpfung,minor,2015-10-27T00:00:00Z,CDU,Senat,Senat
