,html_url,legislative_term,reference,title,interpellation_type,published_at,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
0,https://kleineanfragen.de/bundestag/19/19878-digitale-bildungsinhalte-in-der-fruehkindlichen-bildung,19,19878,Digitale Bildungsinhalte in der Frühkindlichen Bildung,minor,2020-06-11,FDP,Britta Dassler;Matthias Seestern,"Bundesministerium für Familie, Senioren, Frauen und Jugend"
1,https://kleineanfragen.de/bundestag/19/19876-unterstuetzung-der-zivilgesellschaft-waehrend-und-nach-der-corona-krise,19,19876,Unterstützung der Zivilgesellschaft während und nach der Corona-Krise,minor,2020-06-11,FDP,Renata Alt;Katja Suding;Grigorios Aggelidis,"Bundesministerium für Familie, Senioren, Frauen und Jugend"
2,https://kleineanfragen.de/bundestag/19/19875-strafbarkeitsluecke-bei-183-stgb,19,19875,Strafbarkeitslücke bei § 183 StGB,minor,2020-06-11,AfD,Tobias Peterka;Jens Maier;Stephan Brandner,Bundesministerium der Justiz und für Verbraucherschutz
3,https://kleineanfragen.de/bundestag/19/19868-rahmenbedingungen-fuer-ladeinfrastruktur-und-digitalisierung,19,19868,Rahmenbedingungen für Ladeinfrastruktur und Digitalisierung,minor,2020-06-10,FDP,Hagen Reinhold;Oliver Luksic,Bundesministerium für Wirtschaft und Energie
4,https://kleineanfragen.de/bundestag/19/19867-projekte-im-abschlussbericht-der-kohlekommission,19,19867,Projekte im Abschlussbericht der Kohlekommission,minor,2020-06-10,AfD,Steffen Kotré;Heiko Heßenkemper;Tino Chrupalla,Bundesministerium für Wirtschaft und Energie
5,https://kleineanfragen.de/bundestag/19/17662-die-deutsche-ruestungskooperation-mit-der-tuerkei-vor-dem-hintergrund-der-spannungen-mit-zypern,19,17662,Die deutsche Rüstungskooperation mit der Türkei vor dem Hintergrund der Spannungen mit Zypern,minor,2020-03-06,Die Linke,Alexander Neu;Zaklin Nastic;Heike Hänsel;Sevim Dağdelen,Auswärtiges Amt
6,https://kleineanfragen.de/bundestag/19/16988-sicherstellung-der-versorgung-bei-schwangerschaftsabbruechen,19,16988,Sicherstellung der Versorgung bei Schwangerschaftsabbrüchen,minor,2020-02-03,Die Linke,Matthias Birkwald;Doris Maria Achelwilm;Cornelia Möhring,"Bundesministerium für Familie, Senioren, Frauen und Jugend"
7,https://kleineanfragen.de/bundestag/19/16987-iron-march-und-die-atomwaffen-division,19,16987,"""Iron March"" und die ""Atomwaffen Division""",minor,2020-02-03,FDP,Stephan Thomae;Benjamin Strasser,"Bundesministerium des Innern, für Bau und Heimat"
8,https://kleineanfragen.de/bundestag/19/16986-waermeerzeugung-in-den-kasernen-der-bundeswehr,19,16986,Wärmeerzeugung in den Kasernen der Bundeswehr,minor,2020-02-03,FDP,Christian Dürr;Ulla Ihnen;Otto Fricke,Bundesministerium der Verteidigung
9,https://kleineanfragen.de/bundestag/19/16985-freiburger-kreis-foerderprogramm-fuer-vereinseigene-sportanlagen,19,16985,Freiburger Kreis - Förderprogramm für vereinseigene Sportanlagen,minor,2020-01-31,FDP,Marcel Klinge;Stephan Thomae;Britta Dassler,"Bundesministerium des Innern, für Bau und Heimat"
