,html_url,legislative_term,reference,title,interpellation_type,published_at,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
0,https://kleineanfragen.de/hessen/19/6838-verwendung-von-papier-in-verbindung-mit-fsc-ii,19,6838,Verwendung von Papier in Verbindung mit FSC II,minor,2019-01-18,SPD,Heinz Lotz,Minister der Finanzen
1,https://kleineanfragen.de/hessen/19/6842-aufstufung-der-gemeinde-dautphetal-zum-mittelzentrum,19,6842,Aufstufung der Gemeinde Dautphetal zum Mittelzentrum,minor,2019-01-09,SPD,Angelika Löber,"Minister für Wirtschaft, Energie, Verkehr und Landesentwicklung"
2,https://kleineanfragen.de/hessen/19/6846-verteilung-von-eu-mitteln-nach-staedten-und-gemeinden-im-kreis-bergstrasse,19,6846,Verteilung von EU-Mitteln nach Städten und Gemeinden im Kreis Bergstraße,minor,2019-01-08,SPD,Karin Hartmann,Minister der Finanzen
3,https://kleineanfragen.de/hessen/19/6863-konsultationsverfahren-amtix-kurz,19,6863,Konsultationsverfahren AMTIX-kurz,minor,2019-01-07,SPD,Michael Siebel,Chef der Staatskanzlei
4,https://kleineanfragen.de/hessen/19/6823-gleichstellung-hessischer-pruefsachverstaendiger-fuer-brandschutz,19,6823,Gleichstellung hessischer Prüfsachverständiger für Brandschutz,minor,2019-01-07,FDP,Jürgen Lenders,"Minister für Wirtschaft, Energie, Verkehr und Landesentwicklung"
5,https://kleineanfragen.de/hessen/19/6821-verkleinerung-des-naturschutzgebietes-frauenberg-bei-beltershausen-kreis-marburg-biedenkopf,19,6821,Verkleinerung des Naturschutzgebietes Frauenberg bei Beltershausen (Kreis Marburg-Biedenkopf),minor,2019-01-07,Die Linke,Jan Schalauske,"Ministerin für Umwelt, Klimaschutz, Landwirtschaft und Verbraucherschutz"
6,https://kleineanfragen.de/hessen/19/6824-erteilung-und-entzug-von-beschaeftigungserlaubnissen-im-hinblick-auf-die-durchsetzung-der-ausreisepflicht,19,6824,Erteilung und Entzug von Beschäftigungserlaubnissen im Hinblick auf die Durchsetzung der Ausreisepflicht,minor,2019-01-03,SPD,Gerhard Merz;Nancy Faeser;Andrea Ypsilanti,Minister des Innern und für Sport
7,https://kleineanfragen.de/hessen/19/6826-erteilung-und-entzug-von-beschaeftigungserlaubnissen-im-hinblick-auf-die-kosten-fuer-die-hessischen-kommunen,19,6826,Erteilung und Entzug von Beschäftigungserlaubnissen im Hinblick auf die Kosten für die hessischen Kommunen,minor,2019-01-02,SPD,Gerhard Merz;Nancy Faeser;Andrea Ypsilanti,Minister des Innern und für Sport
8,https://kleineanfragen.de/hessen/19/6819-zugangsvoraussetzungen-fuer-fachschulen-fuer-sozialwesen,19,6819,Zugangsvoraussetzungen für Fachschulen für Sozialwesen,minor,2019-01-02,SPD,Handan Özgüven;Christoph Degen,Kultusminister
9,https://kleineanfragen.de/hessen/19/6810-anzeigen-gegen-kommunalpolitikerinnen-und-kommunalpolitiker-wegen-meinungsaeusserungen,19,6810,Anzeigen gegen Kommunalpolitikerinnen und Kommunalpolitiker wegen Meinungsäußerungen,minor,2018-12-20,SPD,Gerhard Merz;Corrado Di Benedetto,Minister des Innern und für Sport
10,https://kleineanfragen.de/hessen/19/6817-insektensterben-und-pestizideinsatz-in-naturschutzgebieten,19,6817,Insektensterben und Pestizideinsatz in Naturschutzgebieten,minor,2018-12-19,Die Linke,Marjana Schott,"Ministerin für Umwelt, Klimaschutz, Landwirtschaft und Verbraucherschutz"
11,https://kleineanfragen.de/hessen/19/6834-schulgirokonten,19,6834,Schulgirokonten,minor,2018-12-18,FDP,Wolfgang Greilich,Kultusminister
12,https://kleineanfragen.de/hessen/19/6830-sanierungsstau-an-hessischen-hochschulen,19,6830,Sanierungsstau an hessischen Hochschulen,minor,2018-12-18,SPD,Daniela Sommer,Minister für Wissenschaft und Kunst
13,https://kleineanfragen.de/hessen/19/6828-aufstufung-der-kommunen-nidderau-und-karben-zu-mittelzentren,19,6828,Aufstufung der Kommunen Nidderau und Karben zu Mittelzentren,minor,2018-12-18,SPD,Lisa Gnadl;Christoph Degen,"Minister für Wirtschaft, Energie, Verkehr und Landesentwicklung"
14,https://kleineanfragen.de/hessen/19/6822-konnexitaetsausgleich-fuer-aenderungen-im-schulgesetz,19,6822,Konnexitätsausgleich für Änderungen im Schulgesetz,minor,2018-12-18,SPD,Christoph Degen,Kultusminister
15,https://kleineanfragen.de/hessen/19/6811-personalentwicklung-beim-finanzamt-eschwege-witzenhausen,19,6811,Personalentwicklung beim Finanzamt Eschwege-Witzenhausen,minor,2018-12-18,SPD,Lothar Quanz,Minister der Finanzen
16,https://kleineanfragen.de/hessen/19/6799-inklusive-schulbuendnisse-in-hessen,19,6799,Inklusive Schulbündnisse in Hessen,minor,2018-12-18,SPD,Christoph Degen,Kultusminister
17,https://kleineanfragen.de/hessen/19/6818-wasserkraft-in-hessen,19,6818,Wasserkraft in Hessen,minor,2018-12-11,SPD,Stephan Grüger,"Minister für Wirtschaft, Energie, Verkehr und Landesentwicklung"
18,https://kleineanfragen.de/hessen/19/6816-psychosoziale-betreuung-gefluechteter-menschen-iii,19,6816,Psychosoziale Betreuung geflüchteter Menschen III,minor,2018-12-11,Die Linke,Marjana Schott,Minister für Soziales und Integration
19,https://kleineanfragen.de/hessen/19/6815-psychosoziale-betreuung-gefluechteter-menschen-ii,19,6815,Psychosoziale Betreuung geflüchteter Menschen II,minor,2018-12-11,Die Linke,Marjana Schott,Minister für Soziales und Integration
20,https://kleineanfragen.de/hessen/19/6814-psychosoziale-betreuung-gefluechteter-menschen-i,19,6814,Psychosoziale Betreuung geflüchteter Menschen I,minor,2018-12-11,Die Linke,Marjana Schott,Minister für Soziales und Integration
21,https://kleineanfragen.de/hessen/19/6805-oeffnungszeiten-autowaschanlage,19,6805,Öffnungszeiten Autowaschanlage,minor,2018-12-05,FDP,Stefan Müller;Jürgen Lenders,Minister des Innern und für Sport
22,https://kleineanfragen.de/hessen/19/6809-infrastruktur-und-laendlicher-raum-beispiel-weilrod,19,6809,Infrastruktur und ländlicher Raum Beispiel Weilrod,minor,2018-12-03,FDP,René Rock,"Minister für Wirtschaft, Energie, Verkehr und Landesentwicklung"
23,https://kleineanfragen.de/hessen/19/6807-umsetzung-des-teilhabechancengesetzes-in-hessen-i,19,6807,Umsetzung des Teilhabechancengesetzes in Hessen I,minor,2018-12-03,Die Linke,,Minister für Soziales und Integration
24,https://kleineanfragen.de/hessen/19/6628-hassreden-hate-speech-und-weitere-strafbare-meinungsaeusserungen-im-internet,19,6628,"Hassreden (""Hate Speech"") und weitere strafbare Meinungsäußerungen im Internet",minor,2018-11-29,FDP,Stefan Müller,Minister des Innern und für Sport
25,https://kleineanfragen.de/hessen/19/6804-umfrage-zur-errichtung-einer-pflegekammer-in-hessen,19,6804,Umfrage zur Errichtung einer Pflegekammer in Hessen,minor,2018-11-28,SPD,Daniela Sommer,Minister für Soziales und Integration
26,https://kleineanfragen.de/hessen/19/6802-aufarbeitung-von-missstaenden-bei-der-bekaempfung-von-geldwaesche-und-terrorfinanzierung,19,6802,Aufarbeitung von Missständen bei der Bekämpfung von Geldwäsche und Terrorfinanzierung,minor,2018-11-27,FDP,Wolfgang Greilich,Minister des Innern und für Sport
27,https://kleineanfragen.de/hessen/19/5082-die-lebenssituation-von-kindern-und-jugendlichen-in-hessen-sowie-mittel-und-langfristigen-massnahmen-gegen-armut,19,5082,Die Lebenssituation von Kindern und Jugendlichen in Hessen sowie mittel- und langfristigen Maßnahmen gegen Armut,major,2018-11-26,Die Linke,Marjana Schott,Landesregierung
28,https://kleineanfragen.de/hessen/19/6808-umsetzung-des-teilhabechancengesetzes-in-hessen-ii,19,6808,Umsetzung des Teilhabechancengesetzes in Hessen II,minor,2018-11-23,Die Linke,,Minister für Soziales und Integration
29,https://kleineanfragen.de/hessen/19/6806-geschwindigkeitsbegrenzung-auf-der-l3193-zwischen-den-ortsteilen-huettengesaess-und-neuwiedermuss-in-ronneburg,19,6806,Geschwindigkeitsbegrenzung auf der L3193 zwischen den Ortsteilen Hüttengesäß und Neuwiedermuß in Ronneburg,minor,2018-11-23,SPD,Christoph Degen,"Minister für Wirtschaft, Energie, Verkehr und Landesentwicklung"
30,https://kleineanfragen.de/hessen/19/6800-verbraucherinsolvenzverfahren,19,6800,Verbraucherinsolvenzverfahren,minor,2018-11-19,Die Linke,Marjana Schott,Ministerin der Justiz
31,https://kleineanfragen.de/hessen/19/6803-zwischenlager-an-der-l-3014-ecke-b-519,19,6803,Zwischenlager an der L 3014/Ecke B 519,minor,2018-11-16,SPD,Uwe Frankenberger;Nancy Faeser,"Minister für Wirtschaft, Energie, Verkehr und Landesentwicklung"
32,https://kleineanfragen.de/hessen/19/6794-durchsuchungen-festnahme-und-beschlagnahmung-bei-der-schwerkranken-cannabis-nutzerin-magda-s,19,6794,"Durchsuchungen, Festnahme und Beschlagnahmung bei der schwerkranken Cannabis-Nutzerin Magda S.",minor,2018-11-13,Die Linke,Hermann Schaus,Minister des Innern und für Sport
33,https://kleineanfragen.de/hessen/19/6798-nutzung-der-ehemaligen-jaa-friedberg-iii,19,6798,Nutzung der ehemaligen JAA Friedberg III,minor,2018-11-06,FDP,Jörg-Uwe Hahn,Minister der Finanzen
34,https://kleineanfragen.de/hessen/19/6796-wiedereinstieg-in-die-planung-zu-einer-ortsumgehung-freigericht-hasselroth,19,6796,Wiedereinstieg in die Planung zu einer Ortsumgehung Freigericht-Hasselroth,minor,2018-10-29,SPD,Christoph Degen,"Minister für Wirtschaft, Energie, Verkehr und Landesentwicklung"
35,https://kleineanfragen.de/hessen/19/6700-gedenkstaettenfoerderung-und-gedenkstaettenarbeit,19,6700,Gedenkstättenförderung und Gedenkstättenarbeit,minor,2018-10-17,FDP,Jörg-Uwe Hahn;Wolfgang Greilich,Chef der Staatskanzlei
36,https://kleineanfragen.de/hessen/19/6789-sexualisierte-gewalt-gegen-kinder-und-jugendliche,19,6789,Sexualisierte Gewalt gegen Kinder und Jugendliche,minor,2018-10-16,SPD,Andrea Ypsilanti,Minister für Soziales und Integration
37,https://kleineanfragen.de/hessen/19/6765-ausstehende-entscheidung-der-vergabekammer,19,6765,Ausstehende Entscheidung der Vergabekammer,minor,2018-10-16,SPD,Elke Barth;Heinz Lotz;Christoph Degen,"Minister für Wirtschaft, Energie, Verkehr und Landesentwicklung"
38,https://kleineanfragen.de/hessen/19/6722-interessenkonflikt-zwischen-der-windenergie-und-den-vorgaben-des-fsc,19,6722,Interessenkonflikt zwischen der Windenergie und den Vorgaben des FSC,minor,2018-10-16,SPD,Heinz Lotz,"Ministerin für Umwelt, Klimaschutz, Landwirtschaft und Verbraucherschutz"
39,https://kleineanfragen.de/hessen/19/6679-standort-kassel-niederzwehren-der-hessischen-bereitschaftspolizei,19,6679,Standort Kassel-Niederzwehren der Hessischen Bereitschaftspolizei,minor,2018-10-16,SPD,Sabine Waschke;Torsten Warnecke;Manuela Strube;Daniela Sommer;Günter Rudolph;Lothar Quanz;Handan Özgüven;Regine Müller;Angelika Löber;Dieter Franz;Uwe Frankenberger;Wolfgang Decker;Brigitte Hofmeyer,Minister des Innern und für Sport
40,https://kleineanfragen.de/hessen/19/6627-zukuenftiger-umgang-mit-den-leo-projekten,19,6627,Zukünftiger Umgang mit den LEO-Projekten,minor,2018-10-15,FDP,Jörg-Uwe Hahn,Minister der Finanzen
41,https://kleineanfragen.de/hessen/19/6620-staerkung-des-laendlichen-raums-durch-verlagerung-von-zustaendigkeiten-in-der-finanzverwaltung,19,6620,Stärkung des ländlichen Raums durch Verlagerung von Zuständigkeiten in der Finanzverwaltung,minor,2018-10-15,Die Linke,Jan Schalauske,Minister der Finanzen
42,https://kleineanfragen.de/hessen/19/6791-aenderung-der-foerderstruktur-fuer-die-aufgabenhilfe,19,6791,Änderung der Förderstruktur für die Aufgabenhilfe,minor,2018-10-12,SPD,Lothar Quanz,Kultusminister
43,https://kleineanfragen.de/hessen/19/6724-einsatz-pensionierter-lehrkraefte-im-bezirk-des-staatlichen-schulamtes-fuer-den-kreis-gross-gerau,19,6724,Einsatz pensionierter Lehrkräfte im Bezirk des Staatlichen Schulamtes für den Kreis Groß-Gerau,minor,2018-10-12,SPD,Gerald Kummer;Kerstin Geis,Kultusminister
44,https://kleineanfragen.de/hessen/19/6715-einsatz-pensionierter-lehrkraefte-im-staatlichen-schulamt-fuer-den-schwalm-eder-kreis-und-en-landkreis-waldeck,19,6715,Einsatz pensionierter Lehrkräfte im Staatlichen Schulamt für den Schwalm-Eder-Kreis und en Landkreis Waldeck-Frankenberg,minor,2018-10-12,SPD,Günter Rudolph;Daniela Sommer;Regine Müller,Kultusminister
45,https://kleineanfragen.de/hessen/19/6723-mehreinnahmen-und-kosten-der-fsc-zertifizierung-i,19,6723,Mehreinnahmen und Kosten der FSC-Zertifizierung I,minor,2018-10-11,SPD,Heinz Lotz,"Ministerin für Umwelt, Klimaschutz, Landwirtschaft und Verbraucherschutz"
46,https://kleineanfragen.de/hessen/19/6721-umbau-der-feinerschliessungssysteme,19,6721,Umbau der Feinerschließungssysteme,minor,2018-10-09,SPD,Heinz Lotz,"Ministerin für Umwelt, Klimaschutz, Landwirtschaft und Verbraucherschutz"
47,https://kleineanfragen.de/hessen/19/6713-geschwindigkeitsbeschraenkungen-im-bereich-der-bab-49-zwischen-den-anschlussstellen-edermuende-und-kassel,19,6713,Geschwindigkeitsbeschränkungen im Bereich der BAB 49 zwischen den Anschlussstellen Edermünde und Kassel,minor,2018-10-09,SPD,Manuela Strube;Günter Rudolph,Minister des Innern und für Sport
48,https://kleineanfragen.de/hessen/19/6708-belastungs-arbeits-und-ausbildungssituation-am-ukgm,19,6708,"Belastungs-, Arbeits- und Ausbildungssituation am UKGM",minor,2018-10-09,SPD,Daniela Sommer;Gerhard Merz;Handan Özgüven,Minister für Wissenschaft und Kunst
49,https://kleineanfragen.de/hessen/19/6645-erneute-anfertigung-der-aufsichtsarbeit-z-ii-im-januar-2018,19,6645,Erneute Anfertigung der Aufsichtsarbeit Z II im Januar 2018,minor,2018-10-09,SPD,Marius Weiß;Sabine Waschke;Handan Özgüven;Gerald Kummer;Gernot Grumbach;Heike Hofmann,Ministerin der Justiz
50,https://kleineanfragen.de/hessen/19/6642-korruptionspraevention-und-bekaempfung-in-ministerien,19,6642,Korruptionsprävention und -bekämpfung in Ministerien,minor,2018-10-09,FDP,Wolfgang Greilich,Minister des Innern und für Sport
51,https://kleineanfragen.de/hessen/19/6770-allgemeinmedizinische-versorgung-im-landkreis-kassel,19,6770,Allgemeinmedizinische Versorgung im Landkreis Kassel,minor,2018-10-08,SPD,Brigitte Hofmeyer,Minister für Soziales und Integration
52,https://kleineanfragen.de/hessen/19/6716-kreationistischer-einfluss-auf-schuelerinnen-und-schueler,19,6716,Kreationistischer Einfluss auf Schülerinnen und Schüler,minor,2018-10-08,SPD,Ernst-Ewald Roth;Christoph Degen,Kultusminister
53,https://kleineanfragen.de/hessen/19/6699-abordnungen-fuer-personenschutz,19,6699,Abordnungen für Personenschutz,minor,2018-10-04,SPD,Günter Rudolph;Rüdiger Holschuh;Karin Hartmann;Lisa Gnadl;Dieter Franz;Nancy Faeser;Tobias Eckert,Minister des Innern und für Sport
54,https://kleineanfragen.de/hessen/19/6707-landesstrassen-und-fahrradwege-im-landkreis-gross-gerau,19,6707,Landesstraßen und Fahrradwege im Landkreis Groß-Gerau,minor,2018-10-02,SPD,Gerald Kummer;Kerstin Geis,"Minister für Wirtschaft, Energie, Verkehr und Landesentwicklung"
55,https://kleineanfragen.de/hessen/19/6643-zentralstelle-zur-bekaempfung-von-extremismus-und-terrorismus,19,6643,Zentralstelle zur Bekämpfung von Extremismus und Terrorismus,minor,2018-10-01,FDP,Wolfgang Greilich,Ministerin der Justiz
