,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
47188,Ulrike Berger,Ulrike Berger,https://kleineanfragen.de/mecklenburg-vorpommern/6/5936-ortsumgehung-liepgarten,Ortsumgehung Liepgarten,minor,2016-09-26T00:00:00Z,Bündnis 90/Die Grünen,"Ministerium für Energie, Infrastruktur und Landesentwicklung","Ministerium für Energie, Infrastruktur und Landesentwicklung"
47189,Karen Stramm,Karen Stramm,https://kleineanfragen.de/mecklenburg-vorpommern/6/5934-vorsorgeuntersuchungen-fuer-kinder-in-mecklenburg-vorpommern,Vorsorgeuntersuchungen für Kinder in Mecklenburg-Vorpommern,minor,2016-09-26T00:00:00Z,Die Linke,"Ministerium für Arbeit, Gleichstellung und Soziales","Ministerium für Arbeit, Gleichstellung und Soziales"
47190,Karen Stramm,Karen Stramm,https://kleineanfragen.de/mecklenburg-vorpommern/6/5931-notaerzte-in-mecklenburg-vorpommern,Notärzte in Mecklenburg-Vorpommern,minor,2016-09-26T00:00:00Z,Die Linke,"Ministerium für Arbeit, Gleichstellung und Soziales","Ministerium für Arbeit, Gleichstellung und Soziales"
47191,Barbara Borchardt,Barbara Borchardt,https://kleineanfragen.de/mecklenburg-vorpommern/6/5930-errichtung-von-windkraftanlagen-sowie-ausgleichmassnahmen-und-zahlungen,Errichtung von Windkraftanlagen sowie Ausgleichmaßnahmen und -zahlungen,minor,2016-09-26T00:00:00Z,Die Linke,"Ministerium für Landwirtschaft, Umwelt und Verbraucherschutz","Ministerium für Landwirtschaft, Umwelt und Verbraucherschutz"
47192,Helmut Holter;Prof. Dr. Fritz Tack,Prof. Dr. Fritz Tack;Helmut Holter,https://kleineanfragen.de/mecklenburg-vorpommern/6/5923-situation-des-agrobiotechnikums-gross-luesewitz,Situation des Agrobiotechnikums Groß Lüsewitz,minor,2016-09-26T00:00:00Z,Die Linke,"Ministerium für Landwirtschaft, Umwelt und Verbraucherschutz","Ministerium für Landwirtschaft, Umwelt und Verbraucherschutz"
47193,Prof. Dr. Fritz Tack,Prof. Dr. Fritz Tack,https://kleineanfragen.de/mecklenburg-vorpommern/6/5910-aktuelle-situation-der-tierproduktion-in-mecklenburg-vorpommern,Aktuelle Situation der Tierproduktion in Mecklenburg-Vorpommern,minor,2016-09-26T00:00:00Z,Die Linke,"Ministerium für Landwirtschaft, Umwelt und Verbraucherschutz","Ministerium für Landwirtschaft, Umwelt und Verbraucherschutz"
47194,Barbara Borchardt,Barbara Borchardt,https://kleineanfragen.de/mecklenburg-vorpommern/6/5932-berichterstattung-des-ndr-im-august-september-2016-und-regelungen-zur-berichterstattung,Berichterstattung des NDR im August/September 2016 und Regelungen zur Berichterstattung,minor,2016-09-23T00:00:00Z,Die Linke,Staatskanzlei,Staatskanzlei
47195,Henning Foerster,Henning Foerster,https://kleineanfragen.de/mecklenburg-vorpommern/6/5921-entwicklung-der-beschaeftigung-sowie-der-qualifikationsspezifischen-arbeitslosigkeit-und-langzeitarbeitslosigkeit,Entwicklung der Beschäftigung sowie der qualifikationsspezifischen Arbeitslosigkeit und Langzeitarbeitslosigkeit in Mecklenburg-Vorpommern,minor,2016-09-22T00:00:00Z,Die Linke,"Ministerium für Arbeit, Gleichstellung und Soziales","Ministerium für Arbeit, Gleichstellung und Soziales"
47196,Prof. Dr. Fritz Tack,Prof. Dr. Fritz Tack,https://kleineanfragen.de/mecklenburg-vorpommern/6/5913-aktuelle-situation-bei-der-abwehr-der-afrikanischen-schweinepest-asp,Aktuelle Situation bei der Abwehr der Afrikanischen Schweinepest (ASP),minor,2016-09-22T00:00:00Z,Die Linke,"Ministerium für Landwirtschaft, Umwelt und Verbraucherschutz","Ministerium für Landwirtschaft, Umwelt und Verbraucherschutz"
47197,Henning Foerster,Henning Foerster,https://kleineanfragen.de/mecklenburg-vorpommern/6/5919-umsetzung-des-esf-2014-bis-2020-und-arbeit-der-regionalbeiraete,Umsetzung des ESF 2014 bis 2020 und Arbeit der Regionalbeiräte,minor,2016-09-21T00:00:00Z,Die Linke,"Ministerium für Arbeit, Gleichstellung und Soziales","Ministerium für Arbeit, Gleichstellung und Soziales"
47198,Dr. Ursula Karlowski,Dr. Ursula Karlowski,https://kleineanfragen.de/mecklenburg-vorpommern/6/5900-oekokontomassnahme-oekologische-aufwertung-des-diedrichshaeger-moores-bei-warnemuende,Ökokontomaßnahme „Ökologische Aufwertung des Diedrichshäger Moores“ bei Warnemünde,minor,2016-09-19T00:00:00Z,Bündnis 90/Die Grünen,"Ministerium für Landwirtschaft, Umwelt und Verbraucherschutz","Ministerium für Landwirtschaft, Umwelt und Verbraucherschutz"
47199,Barbara Borchardt,Barbara Borchardt,https://kleineanfragen.de/mecklenburg-vorpommern/6/5917-aktivitaetenmeldung-der-landesregierung-2011-bis-2016-sowie-fuer-die-woche-vom-22-08-bis-28-08-2016,Aktivitätenmeldung der Landesregierung 2011 bis 2016 sowie für die Woche vom 22.08. bis 28.08.2016,minor,2016-09-16T00:00:00Z,Die Linke,Staatskanzlei,Staatskanzlei
47200,David Petereit,David Petereit,https://kleineanfragen.de/mecklenburg-vorpommern/6/5831-polizeieinsaetze-in-unterkuenften-fuer-asylbewerber-und-oder-asylanten-in-der-landeshauptstadt-schwerin-im-monat,Polizeieinsätze in Unterkünften für Asylbewerber und/oder Asylanten in der Landeshauptstadt Schwerin im Monat Juni 2016,minor,2016-09-16T00:00:00Z,NPD,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
47201,David Petereit,David Petereit,https://kleineanfragen.de/mecklenburg-vorpommern/6/5830-polizeieinsaetze-in-unterkuenften-fuer-asylbewerber-und-oder-asylanten-in-der-landeshauptstadt-schwerin-im-monat,Polizeieinsätze in Unterkünften für Asylbewerber und/oder Asylanten in der Landeshauptstadt Schwerin im Monat Mai 2016,minor,2016-09-16T00:00:00Z,NPD,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
47202,David Petereit,David Petereit,https://kleineanfragen.de/mecklenburg-vorpommern/6/5829-polizeieinsaetze-in-unterkuenften-fuer-asylbewerber-und-oder-asylanten-in-der-landeshauptstadt-schwerin-im-monat,Polizeieinsätze in Unterkünften für Asylbewerber und/oder Asylanten in der Landeshauptstadt Schwerin im Monat April 2016,minor,2016-09-16T00:00:00Z,NPD,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
47203,David Petereit,David Petereit,https://kleineanfragen.de/mecklenburg-vorpommern/6/5828-polizeieinsaetze-in-unterkuenften-fuer-asylbewerber-und-oder-asylanten-in-der-landeshauptstadt-schwerin-im-monat,Polizeieinsätze in Unterkünften für Asylbewerber und/oder Asylanten in der Landeshauptstadt Schwerin im Monat März 2016,minor,2016-09-16T00:00:00Z,NPD,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
47204,David Petereit,David Petereit,https://kleineanfragen.de/mecklenburg-vorpommern/6/5827-polizeieinsaetze-in-unterkuenften-fuer-asylbewerber-und-oder-asylanten-in-der-landeshauptstadt-schwerin-im-monat,Polizeieinsätze in Unterkünften für Asylbewerber und/oder Asylanten in der Landeshauptstadt Schwerin im Monat Februar 2016,minor,2016-09-16T00:00:00Z,NPD,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
47205,David Petereit,David Petereit,https://kleineanfragen.de/mecklenburg-vorpommern/6/5826-polizeieinsaetze-in-unterkuenften-fuer-asylbewerber-und-oder-asylanten-in-der-landeshauptstadt-schwerin-im-monat,Polizeieinsätze in Unterkünften für Asylbewerber und/oder Asylanten in der Landeshauptstadt Schwerin im Monat Januar 2016,minor,2016-09-16T00:00:00Z,NPD,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
47206,David Petereit,David Petereit,https://kleineanfragen.de/mecklenburg-vorpommern/6/5825-polizeieinsaetze-in-unterkuenften-fuer-asylbewerber-und-oder-asylanten-in-der-landeshauptstadt-schwerin-im-monat,Polizeieinsätze in Unterkünften für Asylbewerber und/oder Asylanten in der Landeshauptstadt Schwerin im Monat Dezember 2015,minor,2016-09-16T00:00:00Z,NPD,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
47207,David Petereit,David Petereit,https://kleineanfragen.de/mecklenburg-vorpommern/6/5807-polizeieinsaetze-in-unterkuenften-fuer-asylbewerber-und-oder-asylanten-im-landkreis-ludwigslust-parchim-im-monat,Polizeieinsätze in Unterkünften für Asylbewerber und/oder Asylanten im Landkreis Ludwigslust-Parchim im Monat Juni 2016,minor,2016-09-16T00:00:00Z,NPD,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
47208,David Petereit,David Petereit,https://kleineanfragen.de/mecklenburg-vorpommern/6/5806-polizeieinsaetze-in-unterkuenften-fuer-asylbewerber-und-oder-asylanten-im-landkreis-ludwigslust-parchim-im-monat,Polizeieinsätze in Unterkünften für Asylbewerber und/oder Asylanten im Landkreis Ludwigslust-Parchim im Monat Mai 2016,minor,2016-09-16T00:00:00Z,NPD,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
47209,David Petereit,David Petereit,https://kleineanfragen.de/mecklenburg-vorpommern/6/5805-polizeieinsaetze-in-unterkuenften-fuer-asylbewerber-und-oder-asylanten-im-landkreis-ludwigslust-parchim-im-monat,Polizeieinsätze in Unterkünften für Asylbewerber und/oder Asylanten im Landkreis Ludwigslust-Parchim im Monat April 2016,minor,2016-09-16T00:00:00Z,NPD,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
47210,David Petereit,David Petereit,https://kleineanfragen.de/mecklenburg-vorpommern/6/5804-polizeieinsaetze-in-unterkuenften-fuer-asylbewerber-und-oder-asylanten-im-landkreis-ludwigslust-parchim-im-monat,Polizeieinsätze in Unterkünften für Asylbewerber und/oder Asylanten im Landkreis Ludwigslust-Parchim im Monat März 2016,minor,2016-09-16T00:00:00Z,NPD,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
