,html_url,legislative_term,reference,title,interpellation_type,published_at,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
0,https://kleineanfragen.de/mecklenburg-vorpommern/7/4191-antibiotikaresistenzen-bei-nutztieren-in-mecklenburg-vorpommern,7,4191,Antibiotikaresistenzen bei Nutztieren in Mecklenburg-Vorpommern,minor,2019-10-23,Freie Wähler/BMV,Christel Weißig,Ministerium für Landwirtschaft und Umwelt
1,https://kleineanfragen.de/mecklenburg-vorpommern/7/4190-soziales-entschaedigungsrecht-nach-dem-opferentschaedigungsgesetz-oeg,7,4190,Soziales Entschädigungsrecht nach dem Opferentschädigungsgesetz (OEG),minor,2019-10-23,Freie Wähler/BMV,Christel Weißig,"Ministerium für Soziales, Integration und Gleichstellung"
2,https://kleineanfragen.de/mecklenburg-vorpommern/7/4157-nachbarschaftshilfe-fuer-pflegebeduerftige,7,4157,Nachbarschaftshilfe für Pflegebedürftige,minor,2019-10-23,Die Linke,Torsten Koplin,"Ministerium für Soziales, Integration und Gleichstellung"
3,https://kleineanfragen.de/mecklenburg-vorpommern/7/4277-tochterunternehmen-und-beteiligungen-der-universitaetsmedizin-rostock,7,4277,Tochterunternehmen und Beteiligungen der Universitätsmedizin Rostock,minor,2019-10-22,Die Linke,Torsten Koplin,"Ministerium für Bildung, Wissenschaft und Kultur"
4,https://kleineanfragen.de/mecklenburg-vorpommern/7/4213-quote-der-verfahrens-und-prozesskostenhilfe-bei-den-gerichten-seit-2017,7,4213,Quote der Verfahrens- und Prozesskostenhilfe bei den Gerichten seit 2017,minor,2019-10-22,Die Linke,Jacqueline Bernhardt,Justizministerium
5,https://kleineanfragen.de/mecklenburg-vorpommern/7/4193-innerer-sicherheitsfonds-isf-der-eu-bund-laender-projekt-warnung-der-bevoelkerung,7,4193,Innerer Sicherheitsfonds (ISF) der EU: Bund-Länder-Projekt „Warnung der Bevölkerung“,minor,2019-10-22,CDU;Freie Wähler/BMV,Matthias Manthei,Ministerium für Inneres und Europa
6,https://kleineanfragen.de/mecklenburg-vorpommern/7/4181-bdk-forderungskatalog-an-und-uebergriffe-auf-oder-durch-beschaeftigte-des-oeffentlichen-dienstes-elektronisches,7,4181,"BDK-Forderungskatalog, An- und Übergriffe auf oder durch Beschäftigte des Öffentlichen Dienstes, elektronisches Register und Polizeibeauftragter",minor,2019-10-22,AfD,Nikolaus Kramer,Ministerium für Inneres und Europa
7,https://kleineanfragen.de/mecklenburg-vorpommern/7/4151-bahnradsport-in-schwerin,7,4151,Bahnradsport in Schwerin,minor,2019-10-22,AfD,Stephan Reuken,"Ministerium für Soziales, Integration und Gleichstellung"
8,https://kleineanfragen.de/mecklenburg-vorpommern/7/3848-tochterunternehmen-und-beteiligungen-der-universitaetsmedizin-rostock,7,3848,Tochterunternehmen und Beteiligungen der Universitätsmedizin Rostock,minor,2019-10-22,Die Linke,Torsten Koplin,"Ministerium für Bildung, Wissenschaft und Kultur"
9,https://kleineanfragen.de/mecklenburg-vorpommern/7/4216-landespolizei-mecklenburg-vorpommern-bodycams,7,4216,Landespolizei Mecklenburg-Vorpommern: Bodycams,minor,2019-10-18,CDU;Freie Wähler/BMV,Matthias Manthei,Ministerium für Inneres und Europa
10,https://kleineanfragen.de/mecklenburg-vorpommern/7/4200-wegfall-von-restriktionen-beim-ausbau-von-windkraftanlagen-in-mecklenburg-vorpommern,7,4200,Wegfall von Restriktionen beim Ausbau von Windkraftanlagen in Mecklenburg-Vorpommern,minor,2019-10-18,AfD;Freie Wähler/BMV,Ralf Borschke,"Ministerium für Energie, Infrastruktur und Digitalisierung"
11,https://kleineanfragen.de/mecklenburg-vorpommern/7/4192-wahlpflichtfach-feuerwehr-an-schulen-in-mecklenburg-vorpommern,7,4192,Wahlpflichtfach „Feuerwehr“ an Schulen in Mecklenburg-Vorpommern,minor,2019-10-18,CDU;Freie Wähler/BMV,Matthias Manthei,"Ministerium für Bildung, Wissenschaft und Kultur"
12,https://kleineanfragen.de/mecklenburg-vorpommern/7/4182-beruecksichtigung-von-torsonden-bei-baumassnahmen-in-justizgebaeuden,7,4182,Berücksichtigung von Torsonden bei Baumaßnahmen in Justizgebäuden,minor,2019-10-18,CDU;Freie Wähler/BMV,Matthias Manthei,Finanzministerium
13,https://kleineanfragen.de/mecklenburg-vorpommern/7/4172-zuweisungen-von-geldauflagen-in-ermittlungs-straf-und-gnadenverfahren-2018,7,4172,"Zuweisungen von Geldauflagen in Ermittlungs-, Straf- und Gnadenverfahren 2018",minor,2019-10-18,Die Linke,Jacqueline Bernhardt,Justizministerium
14,https://kleineanfragen.de/mecklenburg-vorpommern/7/4167-wendelstein-7-x-forschungsstand-und-verwendung-der-haushaltsmittel,7,4167,Wendelstein 7-X-Forschungsstand und Verwendung der Haushaltsmittel,minor,2019-10-18,AfD,Jörg Kröger,"Ministerium für Bildung, Wissenschaft und Kultur"
15,https://kleineanfragen.de/mecklenburg-vorpommern/7/4033-foerderprogramme-des-bundes,7,4033,Förderprogramme des Bundes,minor,2019-10-18,Die Linke,Jeannine Rösler;Simone Oldenburg,Finanzministerium
16,https://kleineanfragen.de/mecklenburg-vorpommern/7/4183-foerderung-von-feuerwehren-in-mecklenburg-vorpommern,7,4183,Förderung von Feuerwehren in Mecklenburg-Vorpommern,minor,2019-10-16,CDU;Freie Wähler/BMV,Matthias Manthei,Ministerium für Inneres und Europa
17,https://kleineanfragen.de/mecklenburg-vorpommern/7/4169-bewerbungen-und-einstellungen-von-absolventen-des-referendariats-und-seiteneinsteigern-in-den-schuldienst,7,4169,Bewerbungen und Einstellungen von Absolventen des Referendariats und Seiteneinsteigern in den Schuldienst,minor,2019-10-16,AfD,Gunter Jess,"Ministerium für Bildung, Wissenschaft und Kultur"
18,https://kleineanfragen.de/mecklenburg-vorpommern/7/4166-illegale-migration-auf-dem-mittelmeer-und-aufnahmebereitschaft-der-kommunen-in-mecklenburg-vorpommern,7,4166,Illegale Migration auf dem Mittelmeer und Aufnahmebereitschaft der Kommunen in Mecklenburg-Vorpommern,minor,2019-10-16,AfD,Jens-Holger Schneider,Ministerium für Inneres und Europa
19,https://kleineanfragen.de/mecklenburg-vorpommern/7/4143-sammlungsgesetz-in-mecklenburg-vorpommern-und-die-frage-nach-der-sinnhaftigkeit-seiner-abschaffung,7,4143,Sammlungsgesetz in Mecklenburg-Vorpommern und die Frage nach der Sinnhaftigkeit seiner Abschaffung,minor,2019-10-16,AfD,Thomas de Jesus Fernandes,Ministerium für Inneres und Europa
20,https://kleineanfragen.de/mecklenburg-vorpommern/7/4180-amtsgerichtsgebaeude-wolgast,7,4180,Amtsgerichtsgebäude Wolgast,minor,2019-10-14,AfD,Ralph Weber,Finanzministerium
21,https://kleineanfragen.de/mecklenburg-vorpommern/7/4177-landespolizei-straftaten-im-strassenverkehr-2009-bis-2018,7,4177,Landespolizei: Straftaten im Straßenverkehr 2009 bis 2018,minor,2019-10-14,CDU;Freie Wähler/BMV,Matthias Manthei,Ministerium für Inneres und Europa
22,https://kleineanfragen.de/mecklenburg-vorpommern/7/4175-warn-app-nina-in-mecklenburg-vorpommern,7,4175,Warn-App „NINA“ in Mecklenburg-Vorpommern,minor,2019-10-14,CDU;Freie Wähler/BMV,Matthias Manthei,Ministerium für Inneres und Europa
23,https://kleineanfragen.de/mecklenburg-vorpommern/7/4174-installation-von-sirenen-in-mecklenburg-vorpommern,7,4174,Installation von Sirenen in Mecklenburg-Vorpommern,minor,2019-10-14,CDU;Freie Wähler/BMV,Matthias Manthei,Ministerium für Inneres und Europa
24,https://kleineanfragen.de/mecklenburg-vorpommern/7/4173-baumassnahmen-an-den-unikliniken-des-landes,7,4173,Baumaßnahmen an den Unikliniken des Landes,minor,2019-10-14,Die Linke,Karsten Kolbe,Finanzministerium
25,https://kleineanfragen.de/mecklenburg-vorpommern/7/4170-abruf-von-bundesmitteln-zur-unterstuetzung-von-finanzschwachen-kommunen,7,4170,Abruf von Bundesmitteln zur Unterstützung von finanzschwachen Kommunen,minor,2019-10-14,CDU;Freie Wähler/BMV,Bernhard Wildt,"Ministerium für Energie, Infrastruktur und Digitalisierung"
26,https://kleineanfragen.de/mecklenburg-vorpommern/7/4168-ausbau-der-b-96-zwischen-neustrelitz-und-der-landesgrenze-zu-brandenburg,7,4168,Ausbau der B 96 zwischen Neustrelitz und der Landesgrenze zu Brandenburg,minor,2019-10-14,AfD,Stephan Reuken,"Ministerium für Energie, Infrastruktur und Digitalisierung"
27,https://kleineanfragen.de/mecklenburg-vorpommern/7/4161-multiresistente-keime-und-medikamentenversorgung-in-mecklenburg-vorpommern,7,4161,Multiresistente Keime und Medikamentenversorgung in Mecklenburg-Vorpommern,minor,2019-10-14,Die Linke,Torsten Koplin,"Ministerium für Wirtschaft, Arbeit und Gesundheit"
