,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
53910,Björn Försterling,Björn Försterling,https://kleineanfragen.de/niedersachsen/17/8855-statistische-schuldaten,Statistische Schuldaten,minor,2018-01-26T00:00:00Z,FDP,Niedersächsisches Kultusministerium,Niedersächsisches Kultusministerium
53911,Ulf Thiele,Ulf Thiele,https://kleineanfragen.de/niedersachsen/17/8854-gibt-es-ausreichende-kapazitaeten-an-den-berufsbildenden-schulen-in-niedersachsen-fuer-die-zweijaehrige,Gibt es ausreichende Kapazitäten an den berufsbildenden Schulen in Niedersachsen für die Zweijährige Berufsfachschule Sozialpädagogische Assistenz?,minor,2017-12-22T00:00:00Z,CDU,Kultusausschuss,Kultusausschuss
53912,Jörg Bode,Jörg Bode,https://kleineanfragen.de/niedersachsen/17/8853-wie-wirkt-sich-die-verordnung-ueber-anlagen-zum-umgang-mit-wassergefaehrdenden-stoffen-awsv-auf-die-planungen-am,Wie wirkt sich die Verordnung über Anlagen zum Umgang mit wassergefährdenden Stoffen (AwSV) auf die Planungen am grünen Hügel in Wathlingen aus?,minor,2017-11-17T00:00:00Z,FDP,"Niedersächsisches Ministerium für Wirtschaft, Arbeit und Verkehr","Niedersächsisches Ministerium für Wirtschaft, Arbeit und Verkehr"
53913,Martin Bäumer,Martin Bäumer,https://kleineanfragen.de/niedersachsen/17/8851-wie-werden-die-ermittlungen-in-ritterhude-vorangebracht,Wie werden die Ermittlungen in Ritterhude vorangebracht?,minor,2017-11-10T00:00:00Z,CDU,Niedersächsisches Justizministerium,Niedersächsisches Justizministerium
53914,Almuth von Below-Neufeldt;Jörg Bode,Almuth von Below-Neufeldt;Jörg Bode,https://kleineanfragen.de/niedersachsen/17/8848-bilanz-der-sprachkurse-fuer-nicht-schulpflichtige-erwachsene-fluechtlinge,"Bilanz der Sprachkurse für nicht schulpflichtige, erwachsene Flüchtlinge",minor,2017-11-08T00:00:00Z,FDP,Niedersächsisches Ministerium für Wissenschaft und Kultur,Niedersächsisches Ministerium für Wissenschaft und Kultur
53915,Frank Oesterhelweg;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Helmut Dammann-Tamke;Christian Calderone;Hans-Heinrich Ehlen,Frank Oesterhelweg;Hans-Heinrich Ehlen;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Christian Calderone;Helmut Dammann-Tamke,https://kleineanfragen.de/niedersachsen/17/8843-was-hat-die-sanfte-agrarwende-fuer-erzeuger-und-verbraucher-gebracht-teil-13,"Was hat die ""sanfte Agrarwende"" für Erzeuger und Verbraucher gebracht? (Teil 13)",minor,2017-11-06T00:00:00Z,CDU,"Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz","Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz"
53916,Frank Oesterhelweg;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Helmut Dammann-Tamke;Christian Calderone;Hans-Heinrich Ehlen,Frank Oesterhelweg;Hans-Heinrich Ehlen;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Christian Calderone;Helmut Dammann-Tamke,https://kleineanfragen.de/niedersachsen/17/8842-was-hat-die-sanfte-agrarwende-fuer-erzeuger-und-verbraucher-gebracht-teil-6,Was hat die „sanfte Agrarwende“ für Erzeuger und Verbraucher gebracht? (Teil 6),minor,2017-11-03T00:00:00Z,CDU,"Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz","Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz"
53917,Dr. Stefan Birkner;Dr. Gero Hocker;Dr. Marco Genthe,Dr. Stefan Birkner;Dr. Marco Genthe;Dr. Gero Hocker,https://kleineanfragen.de/niedersachsen/17/8845-wie-viele-wolfsrisse-gab-es-in-vechta-und-diepholz,Wie viele Wolfsrisse gab es in Vechta und Diepholz?,minor,2017-11-02T00:00:00Z,FDP,"Niedersächsisches Ministerium für Umwelt, Energie und Klimaschutz","Niedersächsisches Ministerium für Umwelt, Energie und Klimaschutz"
53918,Jan-Christoph Oetjen;Hermann Grupe;Dr. Stefan Birkner;Dr. Gero Hocker,Dr. Stefan Birkner;Jan-Christoph Oetjen;Hermann Grupe;Dr. Gero Hocker,https://kleineanfragen.de/niedersachsen/17/8844-wann-muss-das-cuxhavener-wolfsrudel-entnommen-werden,Wann muss das Cuxhavener Wolfsrudel entnommen werden?,minor,2017-11-02T00:00:00Z,FDP,"Niedersächsisches Ministerium für Umwelt, Energie und Klimaschutz","Niedersächsisches Ministerium für Umwelt, Energie und Klimaschutz"
53919,Frank Oesterhelweg;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Helmut Dammann-Tamke;Christian Calderone;Hans-Heinrich Ehlen,Frank Oesterhelweg;Hans-Heinrich Ehlen;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Christian Calderone;Helmut Dammann-Tamke,https://kleineanfragen.de/niedersachsen/17/8840-was-hat-die-sanfte-agrarwende-fuer-erzeuger-und-verbraucher-gebracht-teil-12,Was hat die „sanfte Agrarwende“ für Erzeuger und Verbraucher gebracht? (Teil 12),minor,2017-11-02T00:00:00Z,CDU,"Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz","Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz"
