,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
64195,Wibke Brems,Wibke Brems,https://kleineanfragen.de/nordrhein-westfalen/17/12229-schaut-die-landesregierung-zu-wie-rwe-gegen-geltende-genehmigungen-verstoesst-und-sich-ueber-den-entwurf-einer,"Schaut die Landesregierung zu, wie RWE gegen geltende Genehmigungen verstößt und sich über den Entwurf einer neuen Leitentscheidung hinwegsetzt?",minor,2020-12-23T00:00:00Z,Bündnis 90/Die Grünen,MWIDE,MWIDE
64196,Arndt Klocke;Matthi Bolte-Richter,Arndt Klocke;Matthi Bolte-Richter,https://kleineanfragen.de/nordrhein-westfalen/17/12228-verhalten-des-landesbetriebs-strassen-nrw-zum-laermschutz-und-zur-mobilitaetswende-in-bielefeld,Verhalten des Landesbetriebs Straßen.NRW zum Lärmschutz und zur Mobilitätswende in Bielefeld,minor,2020-12-23T00:00:00Z,Bündnis 90/Die Grünen,VM,VM
64197,Dr. Dennis Maelzer,Dr. Dennis Maelzer,https://kleineanfragen.de/nordrhein-westfalen/17/12227-wurde-an-die-besondere-situation-von-foerderschulen-und-inklusiven-kitas-bei-der-ausgestaltung-des-landesprogramms,Wurde an die besondere Situation von Förderschulen und inklusiven Kitas bei der Ausgestaltung des Landesprogramms zur Anschaffung mobiler Luftfilteranlagen nicht ausreichend gedacht?,minor,2020-12-23T00:00:00Z,SPD,MHKBG,MHKBG
64198,Dr. Dennis Maelzer,Dr. Dennis Maelzer,https://kleineanfragen.de/nordrhein-westfalen/17/12226-sonderprogramm-nur-an-schulen-warum-muessen-kitas-spenden-sammeln-um-die-anschaffung-mobiler-luftfilteranlagen-zu,"Sonderprogramm nur an Schulen. Warum müssen Kitas Spenden sammeln, um die Anschaffung mobiler Luftfilteranlagen zu finanzieren?",minor,2020-12-23T00:00:00Z,SPD,MKFFI,MKFFI
64199,René Schneider,René Schneider,https://kleineanfragen.de/nordrhein-westfalen/17/12225-rheinbergs-ortsteil-orsoy-denkt-an-die-zukunft-welche-rolle-kann-zue-dabei-spielen,Rheinbergs Ortsteil Orsoy denkt an die Zukunft – welche Rolle kann ZUE dabei spielen?,minor,2020-12-23T00:00:00Z,SPD,MKFFI,MKFFI
64200,Angela Lück,Angela Lück,https://kleineanfragen.de/nordrhein-westfalen/17/12220-unterrichtsstatistik-im-corona-jahr-wer-hilft-den-schulen-bei-der-datenflut-der-woechentlichen-corona-abfrage,Unterrichtsstatistik im Corona-Jahr: Wer hilft den Schulen bei der Datenflut der wöchentlichen Corona-Abfrage?,minor,2020-12-22T00:00:00Z,SPD,MSB,MSB
64201,Eva-Maria Voigt-Küppers;Jochen Ott,Jochen Ott;Eva-Maria Voigt-Küppers,https://kleineanfragen.de/nordrhein-westfalen/17/12219-wann-erhalten-die-primus-schulen-klarheit,Wann erhalten die PRIMUS-Schulen Klarheit?,minor,2020-12-22T00:00:00Z,SPD,MSB,MSB
64202,Dr. Christian Blex,Dr. Christian Blex,https://kleineanfragen.de/nordrhein-westfalen/17/12218-eigenschaften-der-antigen-schnelltests,Eigenschaften der Antigen-Schnelltests,minor,2020-12-22T00:00:00Z,AfD,MAGS,MAGS
64203,Markus Wagner;Thomas Röckemann,Markus Wagner;Thomas Röckemann,https://kleineanfragen.de/nordrhein-westfalen/17/12217-staatsanwaltschaftliche-ermittlungsverfahren-gegen-terrorismus-in-nordrhein-westfalen,Staatsanwaltschaftliche Ermittlungsverfahren gegen Terrorismus in Nordrhein-Westfalen,minor,2020-12-22T00:00:00Z,AfD,Justizministerium,Justizministerium
64204,Markus Wagner;Thomas Röckemann,Markus Wagner;Thomas Röckemann,https://kleineanfragen.de/nordrhein-westfalen/17/12216-umstrittener-polizeieinsatz-in-gelsenkirchen,Umstrittener Polizeieinsatz in Gelsenkirchen,minor,2020-12-22T00:00:00Z,AfD,IM,IM
64205,Dr. Nadja Büteführ;Ernst-Wilhelm Rahe;Alexander Vogt,Alexander Vogt;Ernst-Wilhelm Rahe;Dr. Nadja Büteführ,https://kleineanfragen.de/nordrhein-westfalen/17/12215-lokaljournalismus-unter-druck-warum-bleibt-die-landesregierung-untaetig,Lokaljournalismus unter Druck! Warum bleibt die Landesregierung untätig?,minor,2020-12-22T00:00:00Z,SPD,Ministerpräsident/in,Ministerpräsident/in
64206,Ina Spanier-Oppermann,Ina Spanier-Oppermann,https://kleineanfragen.de/nordrhein-westfalen/17/12214-zukunft-der-tanzschulen-in-nrw,Zukunft der Tanzschulen in NRW,minor,2020-12-21T00:00:00Z,SPD,MAGS,MAGS
