,html_url,legislative_term,reference,title,interpellation_type,published_at,body,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
69887,https://kleineanfragen.de/rheinland-pfalz/16/6350-funktionsfaehigkeit-der-rheinland-pfaelzischen-landesverwaltung,16,6350,Funktionsfähigkeit der rheinland-pfälzischen Landesverwaltung,minor,2016-05-17,Rheinland-Pfalz,CDU,Matthias Lammert,Ministerium der Finanzen
69888,https://kleineanfragen.de/rheinland-pfalz/16/6349-bahnanlagen-in-obermohr-niedermohr-hirschhorn-und-untersulzbach-sulzbachtal,16,6349,"Bahnanlagen in Obermohr, Niedermohr, Hirschhorn und Untersulzbach (Sulzbachtal)",minor,2016-05-17,Rheinland-Pfalz,CDU,Marcus Klein,"Ministerium des Innern, für Sport und Infrastruktur"
69889,https://kleineanfragen.de/rheinland-pfalz/16/6348-breitbandversorgung,16,6348,Breitbandversorgung,minor,2016-05-17,Rheinland-Pfalz,CDU,Arnold Schmitt,"Ministerium des Innern, für Sport und Infrastruktur"
69890,https://kleineanfragen.de/rheinland-pfalz/16/6347-besetzung-der-praesidentenstelle-bei-dem-pfaelzischen-oberlandesgericht-zweibruecken,16,6347,Besetzung der Präsidentenstelle bei dem Pfälzischen Oberlandesgericht Zweibrücken,minor,2016-05-17,Rheinland-Pfalz,CDU,Christian Baldauf,Ministerium der Justiz und für Verbraucherschutz
69891,https://kleineanfragen.de/rheinland-pfalz/16/6346-personalauswahl-leitungsfunktionen-kindertagesstaetten,16,6346,Personalauswahl Leitungsfunktionen Kindertagesstätten,minor,2016-05-17,Rheinland-Pfalz,CDU,Marcus Klein,"Ministerium für Integration, Familie, Kinder, Jugend und Frauen"
69892,https://kleineanfragen.de/rheinland-pfalz/16/6345-erdoelfoerderung-im-kreis-germersheim,16,6345,Erdölförderung im Kreis Germersheim,minor,2016-05-17,Rheinland-Pfalz,SPD,Barbara Schleicher-Rothmund,"Ministerium für Wirtschaft, Klimaschutz, Energie und Landesplanung"
69893,https://kleineanfragen.de/rheinland-pfalz/16/6344-aktuelle-situation-beim-mdk,16,6344,Aktuelle Situation beim MDK,minor,2016-05-17,Rheinland-Pfalz,CDU,Michael Wäschenbach,"Ministerium für Soziales, Arbeit, Gesundheit und Demografie"
69894,https://kleineanfragen.de/rheinland-pfalz/16/6343-mobile-unterkuenfte-fuer-fluechtlinge-und-betreuung-fuer-fluechtlinge-auf-dem-gelaende-des-flughafens-zweibruecken,16,6343,Mobile Unterkünfte für Flüchtlinge und Betreuung für Flüchtlinge auf dem Gelände des Flughafens Zweibrücken,minor,2016-05-17,Rheinland-Pfalz,CDU,Susanne Ganster,"Ministerium für Integration, Familie, Kinder, Jugend und Frauen"
69895,https://kleineanfragen.de/rheinland-pfalz/16/6340-betrug-durch-russische-pflegedienste,16,6340,Betrug durch russische Pflegedienste,minor,2016-05-12,Rheinland-Pfalz,CDU,Matthias Lammert,"Ministerium für Soziales, Arbeit, Gesundheit und Demografie"
69896,https://kleineanfragen.de/rheinland-pfalz/16/6339-vermummte-auf-der-hochschulgruppen-messe-der-uni-mainz,16,6339,Vermummte auf der Hochschulgruppen-Messe der Uni Mainz,minor,2016-05-12,Rheinland-Pfalz,CDU,Matthias Lammert,"Ministerium für Bildung, Wissenschaft, Weiterbildung und Kultur"
69897,https://kleineanfragen.de/rheinland-pfalz/16/6338-abrechnungsbetrug-in-der-pflege,16,6338,Abrechnungsbetrug in der Pflege,minor,2016-05-12,Rheinland-Pfalz,CDU,Michael Wäschenbach,"Ministerium für Soziales, Arbeit, Gesundheit und Demografie"
69898,https://kleineanfragen.de/rheinland-pfalz/16/6342-geldwaesche-in-der-bauwirtschaft,16,6342,Geldwäsche in der Bauwirtschaft,minor,2016-05-11,Rheinland-Pfalz,CDU,Gerd Schreiner;Matthias Lammert,"Ministerium des Innern, für Sport und Infrastruktur"
69899,https://kleineanfragen.de/rheinland-pfalz/16/6341-polizeidichte-in-rheinland-pfalz,16,6341,Polizeidichte in Rheinland-Pfalz,minor,2016-05-11,Rheinland-Pfalz,CDU,Matthias Lammert,"Ministerium des Innern, für Sport und Infrastruktur"
