,html_url,legislative_term,reference,title,interpellation_type,published_at,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
0,https://kleineanfragen.de/rheinland-pfalz/17/3662-besitzverhaeltnisse-bei-moscheegrundstuecken,17,3662,Besitzverhältnisse bei Moscheegrundstücken,minor,2017-07-28,AfD,Joachim Paul,"Ministerium für Wissenschaft, Weiterbildung und Kultur"
1,https://kleineanfragen.de/rheinland-pfalz/17/3608-asylbewerber-in-koblenz-mutmassliche-beteiligung-an-ausschreitungen-auf-dem-asterstein-bzw-am-schloss,17,3608,Asylbewerber in Koblenz: mutmaßliche Beteiligung an Ausschreitungen auf dem Asterstein bzw. am Schloss,minor,2017-07-20,AfD,Joachim Paul,"Ministerium für Familie, Frauen, Jugend, Integration und Verbraucherschutz"
2,https://kleineanfragen.de/rheinland-pfalz/17/3606-verfahren-zur-rueckfuehrung-abgelehnter-asylbewerber,17,3606,Verfahren zur Rückführung abgelehnter Asylbewerber,minor,2017-07-20,AfD,Michael Frisch;Matthias Joa,"Ministerium für Familie, Frauen, Jugend, Integration und Verbraucherschutz"
3,https://kleineanfragen.de/rheinland-pfalz/17/3604-syrische-asylbewerber-in-koblenz-politisch-motivierte-gewalt,17,3604,Syrische Asylbewerber in Koblenz - politisch motivierte Gewalt,minor,2017-07-20,AfD,Joachim Paul,"Ministerium für Familie, Frauen, Jugend, Integration und Verbraucherschutz"
4,https://kleineanfragen.de/rheinland-pfalz/17/3580-massenschlaegerei-in-koblenz,17,3580,Massenschlägerei in Koblenz,minor,2017-07-19,AfD,Joachim Paul,Ministerium des Innern und für Sport
5,https://kleineanfragen.de/rheinland-pfalz/17/3559-polizeiautobahnstation-emmelshausen,17,3559,Polizeiautobahnstation Emmelshausen,minor,2017-07-18,AfD,Uwe Junge,Ministerium des Innern und für Sport
6,https://kleineanfragen.de/rheinland-pfalz/17/3552-massnahmen-gegen-islamismus-in-rheinland-pfalz,17,3552,Maßnahmen gegen Islamismus in Rheinland-Pfalz,minor,2017-07-14,CDU,Matthias Lammert,Ministerium des Innern und für Sport
7,https://kleineanfragen.de/rheinland-pfalz/17/3550-aufhebung-des-transsexuellengesetzes,17,3550,Aufhebung des Transsexuellengesetzes,minor,2017-07-14,Die Grünen,Pia Schellhammer,"Ministerium für Familie, Frauen, Jugend, Integration und Verbraucherschutz"
8,https://kleineanfragen.de/rheinland-pfalz/17/3545-zweibruecken-stadt-am-wasser,17,3545,Zweibrücken – Stadt am Wasser,minor,2017-07-14,SPD,Andreas Rahm;Alexander Fuhr,"Ministerium für Umwelt, Energie, Ernährung und Forsten"
9,https://kleineanfragen.de/rheinland-pfalz/17/3543-gender-mainstreaming-bei-gesetzentwuerfen,17,3543,Gender-Mainstreaming bei Gesetzentwürfen,minor,2017-07-14,AfD,Damian Lohr,"Ministerium für Familie, Frauen, Jugend, Integration und Verbraucherschutz"
10,https://kleineanfragen.de/rheinland-pfalz/17/3538-luftverkehrskonzept-des-bundes-auswirkungen-auf-rheinland-pfalz,17,3538,Luftverkehrskonzept des Bundes – Auswirkungen auf Rheinland-Pfalz,minor,2017-07-13,CDU,Gabriele Wieland;Christian Baldauf,"Ministerium für Wirtschaft, Verkehr, Landwirtschaft und Weinbau"
11,https://kleineanfragen.de/rheinland-pfalz/17/3537-vortrag-der-landeszentrale-fuer-politische-bildung-rechtspopulismus-in-ostmitteleuropa,17,3537,"Vortrag der Landeszentrale für politische Bildung ""Rechtspopulismus in Ostmitteleuropa""",minor,2017-07-13,AfD,Joachim Paul,"Ministerium für Wissenschaft, Weiterbildung und Kultur"
12,https://kleineanfragen.de/rheinland-pfalz/17/3536-foerderung-fuer-gruenderinnen,17,3536,Förderung für Gründerinnen,minor,2017-07-13,Die Grünen,Jutta Blatzheim-Roegler,"Ministerium für Wirtschaft, Verkehr, Landwirtschaft und Weinbau"
13,https://kleineanfragen.de/rheinland-pfalz/17/3530-digital-gipfel-der-bundesregierung-in-ludwigshafen,17,3530,Digital-Gipfel der Bundesregierung in Ludwigshafen,minor,2017-07-13,SPD,Heijo Höfer;Jörg Denninghoff;Daniel Schäffner,Staatskanzlei
14,https://kleineanfragen.de/rheinland-pfalz/17/3529-erneuerung-der-a-6-zwischen-dem-autobahnkreuz-frankenthal-und-der-anschlussstelle-frankenthal,17,3529,Erneuerung der A 6 zwischen dem Autobahnkreuz Frankenthal und der Anschlussstelle Frankenthal,minor,2017-07-13,CDU,Christian Baldauf,"Ministerium für Wirtschaft, Verkehr, Landwirtschaft und Weinbau"
15,https://kleineanfragen.de/rheinland-pfalz/17/3528-erhoehung-der-verguetungssaetze-fuer-berufliche-betreuer,17,3528,Erhöhung der Vergütungssätze für berufliche Betreuer,minor,2017-07-13,AfD,Timo Böhme,Ministerium der Justiz
16,https://kleineanfragen.de/rheinland-pfalz/17/3527-moscheebesuche-als-teil-der-lehrerausbildung,17,3527,Moscheebesuche als Teil der Lehrerausbildung,minor,2017-07-13,AfD,Joachim Paul,Ministerium für Bildung
17,https://kleineanfragen.de/rheinland-pfalz/17/3525-eilzustaendigkeit-fuer-zollbeamte,17,3525,Eilzuständigkeit für Zollbeamte,minor,2017-07-12,CDU,Matthias Lammert,Ministerium des Innern und für Sport
18,https://kleineanfragen.de/rheinland-pfalz/17/3524-aenderung-der-steuerklassen-in-der-scheidungsphase,17,3524,Änderung der Steuerklassen in der Scheidungsphase,minor,2017-07-12,CDU,Gerd Schreiner,Ministerium der Finanzen
