,html_url,legislative_term,reference,title,interpellation_type,published_at,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
0,https://kleineanfragen.de/saarland/16/664-taeter-opfer-ausgleich,16,664,Täter-Opfer-Ausgleich,written,2018-12-03,Die Linke,Dennis Lander,Landesregierung
1,https://kleineanfragen.de/saarland/16/663-verminderung-der-treibhausgase-im-saarland,16,663,Verminderung der Treibhausgase im Saarland,written,2018-12-03,Die Linke,Ralf Georgi,Landesregierung
2,https://kleineanfragen.de/saarland/16/662-ausbau-von-photovoltaik-und-solarthermie,16,662,Ausbau von Photovoltaik und Solarthermie,written,2018-12-03,Die Linke,Ralf Georgi,Landesregierung
3,https://kleineanfragen.de/saarland/16/661-personalmangel-pflegenotstand-und-ein-moeglicherweise-bevorstehender-arbeitskampf-fuer-entlastung-am,16,661,"Personalmangel, Pflegenotstand und ein möglicherweise bevorstehender Arbeitskampf für Entlastung am Universitätsklinikum des Saarlandes",written,2018-12-03,Die Linke,Astrid Schramm,Landesregierung
4,https://kleineanfragen.de/saarland/16/643-tierversuchsfreie-forschung,16,643,Tierversuchsfreie Forschung,written,2018-11-19,Die Linke,Ralf Georgi,Landesregierung
5,https://kleineanfragen.de/saarland/16/642-radverkehr-im-saarland,16,642,Radverkehr im Saarland,written,2018-11-19,Die Linke,Ralf Georgi,Landesregierung
6,https://kleineanfragen.de/saarland/16/639-lehrbeauftragte-an-der-musikhochschule-und-an-anderen-saarlaendischen-hochschulen,16,639,Lehrbeauftragte an der Musikhochschule und an anderen saarländischen Hochschulen,written,2018-11-08,Die Linke,Astrid Schramm,Landesregierung
7,https://kleineanfragen.de/saarland/16/627-auswirkungen-des-sparkurses-auf-die-universitaet-des-saarlandes,16,627,Auswirkungen des Sparkurses auf die Universität des Saarlandes,major,2018-11-08,Die Linke,,Landesregierung
8,https://kleineanfragen.de/saarland/16/620-nichtstaatliche-sogenannte-friedensrichter-im-saarland,16,620,Nichtstaatliche sogenannte Friedensrichter im Saarland,written,2018-11-05,AfD,Lutz Hecker,Landesregierung
9,https://kleineanfragen.de/saarland/16/619-kommunikations-ueberwachung-durch-die-saarlaendische-polizei,16,619,Kommunikations-Überwachung durch die saarländische Polizei,written,2018-11-05,Die Linke,Dennis Lander,Landesregierung
