,html_url,legislative_term,reference,title,interpellation_type,published_at,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
0,https://kleineanfragen.de/sachsen-anhalt/6/4885-foerderkonditionen-fuer-wintersportprojekte-im-harz,6,4885,Förderkonditionen für Wintersportprojekte im Harz,minor,2016-04-11,Die Grünen,Olaf Meister,Ministerium für Wissenschaft und Wirtschaft
1,https://kleineanfragen.de/sachsen-anhalt/6/4884-vollzeitpflege-in-der-kinder-und-jugendhilfe,6,4884,Vollzeitpflege in der Kinder- und Jugendhilfe,minor,2016-04-11,Die Grünen,Cornelia Lüddemann,"Ministerium für Arbeit, Soziales und Integration"
2,https://kleineanfragen.de/sachsen-anhalt/6/4883-nachfragen-zur-kleinen-anfrage-drs-6-4827-finanzielle-absicherung-zur-tagebausanierung-durch-die-mibrag-gmbh,6,4883,"Nachfragen zur Kleinen Anfrage Drs. 6/4827 ""Finanzielle Absicherung zur Tagebausanierung durch die MIBRAG  GmbH, Nachfragen zur Drs. 6/4574""",minor,2016-04-11,Die Grünen,,Ministerium für Wissenschaft und Wirtschaft
3,https://kleineanfragen.de/sachsen-anhalt/6/4878-von-der-polizei-registrierte-straftaten-im-phaenomenbereich-politisch-motivierte-kriminalitaet-rechts-im-jahr-2015,6,4878,"Von der Polizei registrierte Straftaten im Phänomenbereich ""Politisch motivierte Kriminalität - rechts"" im Jahr 2015",minor,2016-04-06,Die Linke;Die Grünen,Sebastian Striegel;Henriette Quade,Ministerium für Inneres und Sport
4,https://kleineanfragen.de/sachsen-anhalt/6/4874-regionaler-wachstumskern-fluss-strom-plus-an-der-bode,6,4874,"Regionaler Wachstumskern ""Fluss-Strom-Plus"" an der Bode",minor,2016-04-05,Die Grünen,Claudia Dalbert,Ministerium für Landwirtschaft und Umwelt
5,https://kleineanfragen.de/sachsen-anhalt/6/4873-liegenschaften-des-landes-sachsen-anhalt-in-halle-saale,6,4873,Liegenschaften des Landes Sachsen-Anhalt in Halle (Saale),minor,2016-04-05,CDU,Bernhard Bönisch,Ministerium der Finanzen
6,https://kleineanfragen.de/sachsen-anhalt/6/4872-kosten-fuer-die-sanierung-von-umweltschaeden-durch-den-kalibergbau,6,4872,Kosten für die Sanierung von Umweltschäden durch den Kalibergbau,minor,2016-04-05,Die Grünen,Claudia Dalbert,Ministerium für Wissenschaft und Wirtschaft
7,https://kleineanfragen.de/sachsen-anhalt/6/4871-von-der-polizei-registrierte-gewaltstraftaten-im-phaenomenbereich-politisch-motivierte-kriminalitaet-rechts-im-jahr,6,4871,"Von der Polizei registrierte Gewaltstraftaten im Phänomenbereich ""Politisch motivierte Kriminalität - rechts"" im Jahr 2015",minor,2016-04-05,Die Linke;Die Grünen,Sebastian Striegel;Henriette Quade,Ministerium für Inneres und Sport
8,https://kleineanfragen.de/sachsen-anhalt/6/4868-anwendung-der-bauordnung-des-landes-sachsen-anhalt-bauo-lsa-hinsichtlich-brandschutz-fuer-die-schweinezuchtanlage,6,4868,"Anwendung der Bauordnung des Landes Sachsen-Anhalt (BauO LSA) hinsichtlich Brandschutz für die Schweinezuchtanlage der JRS Hybrid Deutschland GmbH in Maasdorf (""Schweinehochhaus"")",minor,2016-03-30,Die Grünen,Dorothea Frederking,Ministerium für Landesentwicklung und Verkehr
9,https://kleineanfragen.de/sachsen-anhalt/6/4867-einzelhandel-im-laendlichen-raum,6,4867,Einzelhandel im ländlichen Raum,minor,2016-03-30,Die Grünen,Olaf Meister,Ministerium für Wissenschaft und Wirtschaft
10,https://kleineanfragen.de/sachsen-anhalt/6/4864-geplante-biogasanlage-in-gommern,6,4864,Geplante Biogasanlage in Gommern,minor,2016-03-18,Die Grünen,Sebastian Striegel,Ministerium für Landwirtschaft und Umwelt
11,https://kleineanfragen.de/sachsen-anhalt/6/4863-foerderprogramme-fuer-allgemein-und-berufsbildende-schulen-in-sachsen-anhalt,6,4863,Förderprogramme für allgemein- und berufsbildende Schulen in Sachsen-Anhalt,minor,2016-03-16,CDU,Jürgen Scharf,Kultusministerium
12,https://kleineanfragen.de/sachsen-anhalt/6/4862-quecksilberbelastungen-in-sachsen-anhalt,6,4862,Quecksilberbelastungen in Sachsen-Anhalt,minor,2016-03-16,Die Grünen,Dorothee Berthold,Ministerium für Landwirtschaft und Umwelt
13,https://kleineanfragen.de/sachsen-anhalt/6/4861-entwicklung-und-beschaeftigung-im-mibrag-unternehmen-theissen-ab-2016,6,4861,Entwicklung und Beschäftigung im MIBRAG-Unternehmen Theißen ab 2016,minor,2016-03-16,Die Grünen,Dorothea Frederking;Dorothee Berthold,Ministerium für Wissenschaft und Wirtschaft
14,https://kleineanfragen.de/sachsen-anhalt/6/4859-beteiligung-sachsen-anhaltischer-neonazis-und-hooligans-am-angriff-auf-leipzig-connewitz,6,4859,Beteiligung sachsen-anhaltischer Neonazis und Hooligans am Angriff auf Leipzig Connewitz,minor,2016-03-15,Die Grünen,Sebastian Striegel,Ministerium für Inneres und Sport
