,html_url,legislative_term,reference,title,interpellation_type,published_at,body,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
94324,https://kleineanfragen.de/sachsen-anhalt/7/4084-verkehrsbelastung-der-landesstrasse-l-206-weissenfels-markroehlitz-burgenlandkreis,7,4084,Verkehrsbelastung der Landesstraße L 206 Weißenfels - Markröhlitz (Burgenlandkreis),minor,2019-03-12,Sachsen-Anhalt,SPD,Rüdiger Erben,Ministerium für Landesentwicklung und Verkehr
94325,https://kleineanfragen.de/sachsen-anhalt/7/4083-dringlichkeitsantrag-auf-dem-parteitag-die-linke-am-23-april-2016,7,4083,"Dringlichkeitsantrag auf dem Parteitag ""DIE LINKE"" am 23. April 2016",minor,2019-03-12,Sachsen-Anhalt,AfD,Daniel Roi,Ministerium für Inneres und Sport
94326,https://kleineanfragen.de/sachsen-anhalt/7/4082-von-der-polizei-registrierte-gewaltstraftaten-im-themenfeld-hasskriminalitaet-im-definitionssystem-politisch,7,4082,"Von der Polizei registrierte Gewaltstraftaten im Themenfeld ""Hasskriminalität"" im Definitionssystem ""Politisch motivierter Kriminalität"" (PMK) und im Phänomenbereich PMK-rechts im Januar 2019",minor,2019-03-12,Sachsen-Anhalt,Die Grünen,Sebastian Striegel,Ministerium für Inneres und Sport
94327,https://kleineanfragen.de/sachsen-anhalt/7/4081-rechtsextreme-aktivitaeten-in-kleingartenanlagen,7,4081,Rechtsextreme Aktivitäten in Kleingartenanlagen,minor,2019-03-12,Sachsen-Anhalt,Die Grünen,Sebastian Striegel,Ministerium für Inneres und Sport
94328,https://kleineanfragen.de/sachsen-anhalt/7/4080-vergabepraxis-des-landessportbundes,7,4080,Vergabepraxis des Landessportbundes,minor,2019-03-12,Sachsen-Anhalt,AfD,Andreas Gehlmann,Ministerium für Inneres und Sport
94329,https://kleineanfragen.de/sachsen-anhalt/7/4079-steuereinnahmen-von-unternehmen-die-im-landkreis-harz-windraeder-bauen-und-betreiben,7,4079,"Steuereinnahmen von Unternehmen, die im Landkreis Harz Windräder bauen und betreiben",minor,2019-03-11,Sachsen-Anhalt,SPD,Andreas Steppuhn,"Ministerium für Wirtschaft, Wissenschaft und Digitalisierung"
94330,https://kleineanfragen.de/sachsen-anhalt/7/4078-us-militaer-fahrzeugbewegungen-im-rahmen-der-operation-atlantic-resolve,7,4078,US-Militär-Fahrzeugbewegungen im Rahmen der Operation Atlantic Resolve,minor,2019-03-11,Sachsen-Anhalt,AfD,Andreas Gehlmann;Hannes Loth;Volker Olenicak,Ministerium für Inneres und Sport
94331,https://kleineanfragen.de/sachsen-anhalt/7/4077-von-der-polizei-registrierte-straftaten-im-themenfeld-hasskriminalitaet-im-definitionssystem-politisch-motivierter,7,4077,"Von der Polizei registrierte Straftaten im Themenfeld ""Hasskriminalität"" im Definitionssystem Politisch motivierter Kriminalität (PMK) und im Phänomenbereich PMK-rechts im Jahr 2018",minor,2019-03-11,Sachsen-Anhalt,Die Linke,Henriette Quade,Ministerium für Inneres und Sport
94332,https://kleineanfragen.de/sachsen-anhalt/7/4073-besetzung-und-ausschreibung-der-funktionsstellen-von-schulleiterinnen-und-schulleitern,7,4073,Besetzung und Ausschreibung der Funktionsstellen von Schulleiterinnen und Schulleitern,minor,2019-03-08,Sachsen-Anhalt,Die Grünen,Wolfgang Aldag,Ministerium für Bildung
94333,https://kleineanfragen.de/sachsen-anhalt/7/4072-papierfabrik-sandersdorf-brehna,7,4072,Papierfabrik Sandersdorf-Brehna,minor,2019-03-08,Sachsen-Anhalt,AfD,Daniel Roi;Hannes Loth,"Ministerium für Umwelt, Landwirtschaft und Energie"
94334,https://kleineanfragen.de/sachsen-anhalt/7/4071-finanzierung-und-aktivitaeten-des-netzwerks-weltoffener-saalekreis,7,4071,"Finanzierung und Aktivitäten des Netzwerks ""Weltoffener Saalekreis""",minor,2019-03-08,Sachsen-Anhalt,AfD,Hans-Thomas Tillschneider,"Ministerium für Arbeit, Soziales und Integration"
94335,https://kleineanfragen.de/sachsen-anhalt/7/4070-lehrerruhestand-und-unterrichtsversorgung-bis-2030,7,4070,Lehrerruhestand und Unterrichtsversorgung bis 2030,minor,2019-03-08,Sachsen-Anhalt,AfD,Hans-Thomas Tillschneider,Ministerium für Bildung
94336,https://kleineanfragen.de/sachsen-anhalt/7/4069-juristische-folgen-von-gewaltstraftaten-im-phaenomenbereich-politisch-motivierte-kriminalitaet-rechts-fuer-das-jahr,7,4069,"Juristische Folgen von Gewaltstraftaten im Phänomenbereich ""Politisch motivierte Kriminalität - rechts"" für das Jahr 2018",minor,2019-03-08,Sachsen-Anhalt,Die Linke,Henriette Quade,Ministerium für Justiz und Gleichstellung
94337,https://kleineanfragen.de/sachsen-anhalt/7/4068-linksextremistische-taetigkeiten-durch-den-verein-miteinander-e-v,7,4068,Linksextremistische Tätigkeiten durch den Verein Miteinander e. V.,minor,2019-03-08,Sachsen-Anhalt,AfD,Daniel Roi,"Ministerium für Arbeit, Soziales und Integration"
94338,https://kleineanfragen.de/sachsen-anhalt/7/4067-denkmalverzeichnis-aktualisierung-und-fortentwicklung,7,4067,Denkmalverzeichnis - Aktualisierung und Fortentwicklung,minor,2019-03-08,Sachsen-Anhalt,Die Grünen,Olaf Meister,Staatskanzlei und Ministerium für Kultur
94339,https://kleineanfragen.de/sachsen-anhalt/7/4066-juristische-folgen-von-straftaten-im-phaenomenbereich-politisch-motivierte-kriminalitaet-rechts-fuer-das-jahr-2018,7,4066,"Juristische Folgen von Straftaten im Phänomenbereich ""Politisch motivierte Kriminalität - rechts"" für das Jahr 2018",minor,2019-03-08,Sachsen-Anhalt,Die Linke,Henriette Quade,Ministerium für Justiz und Gleichstellung
94340,https://kleineanfragen.de/sachsen-anhalt/7/4064-situation-und-entwicklung-der-freien-berufe-in-sachsen-anhalt,7,4064,Situation und Entwicklung der Freien Berufe in Sachsen-Anhalt,major,2019-03-06,Sachsen-Anhalt,CDU,,Landesregierung
94341,https://kleineanfragen.de/sachsen-anhalt/7/4063-investitionen-in-den-bau-von-radwegen-in-den-staedten-halberstadt-wernigerode-und-quedlinburg,7,4063,"Investitionen in den Bau von Radwegen in den Städten Halberstadt, Wernigerode und Quedlinburg",minor,2019-03-06,Sachsen-Anhalt,SPD,Andreas Steppuhn,Ministerium für Landesentwicklung und Verkehr
94342,https://kleineanfragen.de/sachsen-anhalt/7/4062-juristische-folgen-von-gewaltstraftaten-im-phaenomenbereich-politisch-motivierte-kriminalitaet-rechts-im-iv-quartal,7,4062,"Juristische Folgen von Gewaltstraftaten im Phänomenbereich ""Politisch motivierte Kriminalität - rechts"" im IV. Quartal 2018",minor,2019-03-06,Sachsen-Anhalt,Die Linke,Henriette Quade,Ministerium für Justiz und Gleichstellung
94343,https://kleineanfragen.de/sachsen-anhalt/7/4061-rehabilitierung-verurteilter-homosexueller-in-sachsen-anhalt,7,4061,Rehabilitierung verurteilter Homosexueller in Sachsen-Anhalt,minor,2019-03-06,Sachsen-Anhalt,Die Grünen,Sebastian Striegel,Ministerium für Justiz und Gleichstellung
94344,https://kleineanfragen.de/sachsen-anhalt/7/4060-juristische-folgen-von-gewaltstraftaten-im-phaenomenbereich-politisch-motivierte-kriminalitaet-rechts-im-ii-quartal,7,4060,"Juristische Folgen von Gewaltstraftaten im Phänomenbereich ""Politisch motivierte Kriminalität - rechts"" im II. Quartal 2018",minor,2019-03-06,Sachsen-Anhalt,Die Linke,Henriette Quade,Ministerium für Justiz und Gleichstellung
94345,https://kleineanfragen.de/sachsen-anhalt/7/4059-politisch-motivierte-kriminalitaet-links,7,4059,Politisch motivierte Kriminalität - links,minor,2019-03-06,Sachsen-Anhalt,AfD,Daniel Wald,Ministerium für Inneres und Sport
94346,https://kleineanfragen.de/sachsen-anhalt/7/4057-anzahl-und-besetzung-von-dienstposten-regionalbereichsbeamter-in,7,4057,"Anzahl und Besetzung von Dienstposten ""Regionalbereichsbeamter/-in""",minor,2019-03-05,Sachsen-Anhalt,AfD,Hagen Kohl,Ministerium für Inneres und Sport
