,html_url,legislative_term,reference,title,interpellation_type,published_at,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
0,https://kleineanfragen.de/schleswig-holstein/18/5454-levo-park,18,5454,"""LeVo-Park""",minor,2017-06-15,CDU,Axel Bernstein,Minister/in für Inneres und Bundesangelegenheiten
1,https://kleineanfragen.de/schleswig-holstein/18/5456-private-dienstwagennutzung-durch-landesbedienstete,18,5456,Private Dienstwagennutzung durch Landesbedienstete,minor,2017-06-12,Piraten,Patrick Breyer,"Minister/in für Energiewende, Landwirtschaft, Umwelt und ländliche Räume"
2,https://kleineanfragen.de/schleswig-holstein/18/5455-brennelemente-aus-lingen-im-akw-brokdorf,18,5455,Brennelemente aus Lingen im AKW Brokdorf,minor,2017-06-12,Piraten,Patrick Breyer,"Minister/in für Energiewende, Landwirtschaft, Umwelt und ländliche Räume"
3,https://kleineanfragen.de/schleswig-holstein/18/5453-geldauflagen-in-strafverfahren-zugunsten-gemeinnuetziger-einrichtungen-nachfrage-zu-drucksache-18-4695,18,5453,Geldauflagen in Strafverfahren zugunsten gemeinnütziger Einrichtungen (Nachfrage zu Drucksache 18/4695),minor,2017-06-06,Piraten,Patrick Breyer,"Minister/in für Justiz, Kultur und Europa"
4,https://kleineanfragen.de/schleswig-holstein/18/5451-hafen-friedrichskoog,18,5451,Hafen Friedrichskoog,minor,2017-06-02,Piraten,Patrick Breyer,"Minister/in für Wirtschaft, Arbeit, Verkehr und Technologie"
5,https://kleineanfragen.de/schleswig-holstein/18/5452-hafen-friedrichskoog-sperrwerk,18,5452,Hafen Friedrichskoog - Sperrwerk,minor,2017-06-01,Piraten,Patrick Breyer,"Minister/in für Energiewende, Landwirtschaft, Umwelt und ländliche Räume"
6,https://kleineanfragen.de/schleswig-holstein/18/5450-seehundjaeger,18,5450,Seehundjäger,minor,2017-06-01,Piraten,Patrick Breyer,"Minister/in für Energiewende, Landwirtschaft, Umwelt und ländliche Räume"
7,https://kleineanfragen.de/schleswig-holstein/18/5449-seehund-aufzuchtstation-friedrichskoog,18,5449,Seehund-Aufzuchtstation Friedrichskoog,minor,2017-06-01,Piraten,Patrick Breyer,"Minister/in für Energiewende, Landwirtschaft, Umwelt und ländliche Räume"
8,https://kleineanfragen.de/schleswig-holstein/18/5448-medizinische-ausschlusskriterien-in-der-geburtsklinik-eckernfoerde,18,5448,Medizinische Ausschlusskriterien in der Geburtsklinik Eckernförde,minor,2017-06-01,SPD,Kai Dolgner,"Minister/in für Soziales, Gesundheit, Wissenschaft und Gleichstellung"
9,https://kleineanfragen.de/schleswig-holstein/18/5447-telekommunikationsueberwachung-und-richtervorbehalt-nachfrage-zu-drucksache-18-5173,18,5447,Telekommunikationsüberwachung und Richtervorbehalt - Nachfrage zu Drucksache 18/5173,minor,2017-05-29,Piraten,Uli König,Minister/in für Inneres und Bundesangelegenheiten
10,https://kleineanfragen.de/schleswig-holstein/18/5444-legaler-und-illegaler-waffenbesitz-und-waffenhandel-von-rechtsextremen-nachfrage-2017,18,5444,Legaler und illegaler Waffenbesitz und Waffenhandel von Rechtsextremen (Nachfrage 2017),minor,2017-05-26,Piraten,Angelika Beer,Minister/in für Inneres und Bundesangelegenheiten
11,https://kleineanfragen.de/schleswig-holstein/18/5443-antraege-auf-kleinen-waffenschein,18,5443,Anträge auf Kleinen Waffenschein,minor,2017-05-26,Piraten,Angelika Beer,Minister/in für Inneres und Bundesangelegenheiten
12,https://kleineanfragen.de/schleswig-holstein/18/5442-veraenderungen-von-aktivitaeten-im-rechtsextremistischen-bereich-und-auslaenderextremismus-in-schleswig-holstein,18,5442,Veränderungen von Aktivitäten im rechtsextremistischen Bereich  und Ausländerextremismus in Schleswig Holstein -  Reichsbürger,minor,2017-05-26,Piraten,Angelika Beer,Minister/in für Inneres und Bundesangelegenheiten
13,https://kleineanfragen.de/schleswig-holstein/18/5441-veraenderungen-von-aktivitaeten-im-rechtsextremistischen-bereich-und-auslaenderextremismus-in-schleswig-holstein,18,5441,Veränderungen von Aktivitäten im rechtsextremistischen Bereich  und Ausländerextremismus in Schleswig Holstein?-  Identitäre Bewegung,minor,2017-05-26,Piraten,Angelika Beer,Minister/in für Inneres und Bundesangelegenheiten
14,https://kleineanfragen.de/schleswig-holstein/18/5440-veraenderungen-von-aktivitaeten-im-rechtsextremistischen-bereich-und-auslaenderextremismus-in-schleswig-holstein,18,5440,Veränderungen von Aktivitäten im rechtsextremistischen Bereich  und Ausländerextremismus in Schleswig Holstein  -  Ausländerextremismus,minor,2017-05-26,Piraten,Angelika Beer,Minister/in für Inneres und Bundesangelegenheiten
15,https://kleineanfragen.de/schleswig-holstein/18/5439-dauer-der-polizeilichen-auswertung-von-datentraegern,18,5439,Dauer der polizeilichen Auswertung von Datenträgern,minor,2017-05-26,Piraten,Patrick Breyer,Minister/in für Inneres und Bundesangelegenheiten
16,https://kleineanfragen.de/schleswig-holstein/18/5445-p-r-parkplaetze-auf-sylt,18,5445,P+R Parkplätze auf Sylt,minor,2017-05-23,Piraten,Patrick Breyer,"Minister/in für Wirtschaft, Arbeit, Verkehr und Technologie"
17,https://kleineanfragen.de/schleswig-holstein/18/5446-tierschutzbeauftragter,18,5446,Tierschutzbeauftragter,minor,2017-05-22,Piraten,Angelika Beer,"Minister/in für Energiewende, Landwirtschaft, Umwelt und ländliche Räume"
